Name,Color,Rarity,Mana Value,Tier,Synergy,Buildaround,Comment,Image,Image Back
Banishing Light,W,C,3,C+,,,,https://cards.scryfall.io/large/front/2/5/25a06f82-ebdb-4dd6-bfe8-958018ce557c.jpg?1721425761,
Dewdrop Cure,W,U,3,D-,,,,https://cards.scryfall.io/large/front/6/6/666aefc2-44e0-4c27-88d5-7906f245a71f.jpg?1721425815,
"Maha, Its Feathers Night",B,M,5,A+,,,,https://cards.scryfall.io/large/front/c/f/cf3320ec-c4e8-405a-982d-e009c58c9e21.jpg?1721426449,
Moonstone Harbinger,B,U,3,C,,,,https://cards.scryfall.io/large/front/5/9/59e4aa8d-1d06-48db-b205-aa2f1392bbcb.jpg?1721426452,
Nocturnal Hunger,B,C,3,C+,,,,https://cards.scryfall.io/large/front/7/4/742c0409-9abd-4559-b52e-932cc90c531a.jpg?1721426459,
Osteomancer Adept,B,R,2,B,,,,https://cards.scryfall.io/large/front/7/d/7d8238dd-858f-466c-96de-986bd66861d7.jpg?1721426463,
Persistent Marshstalker,B,U,2,B-,,,,https://cards.scryfall.io/large/front/8/b/8b900c71-713b-4b7e-b4be-ad9f4aa0c139.jpg?1721426469,
Psychic Whorl,B,C,3,D,,,,https://cards.scryfall.io/large/front/d/f/df900308-8432-4a0a-be21-17482026012b.jpg?1721426473,
Ravine Raider,B,C,1,C+,,,,https://cards.scryfall.io/large/front/8/7/874510be-7ecd-4eff-abad-b9594eb4821a.jpg?1721426478,
Rottenmouth Viper,B,M,6,A,,,,https://cards.scryfall.io/large/front/7/3/735e79b1-a3a9-4ddf-8bbc-f756c8a0452b.jpg?1721426484,
Ruthless Negotiation,B,U,1,C+,,,,https://cards.scryfall.io/large/front/c/7/c7f4360c-8d68-4058-b9ec-da9948cb060d.jpg?1721426488,
Savor,B,C,2,B,,,,https://cards.scryfall.io/large/front/1/3/1397f689-dca1-4d35-864b-92c5606afb9a.jpg?1721426493,
Driftgloom Coyote,W,U,5,C+,,,,https://cards.scryfall.io/large/front/d/7/d7ab2de3-3aea-461a-a74f-fb742cf8a198.jpg?1721425819,
Scales of Shale,B,C,3,B-,True,,,https://cards.scryfall.io/large/front/9/a/9ae14276-dbbd-4257-80e9-accd6c19f5b2.jpg?1721426499,
Scavenger's Talent,B,R,1,C+,,True,,https://cards.scryfall.io/large/front/9/a/9a52b7fe-87ae-425b-85fd-b24e6e0395f1.jpg?1721814345,
Season of Loss,B,M,5,A+,,,,https://cards.scryfall.io/large/front/c/c/cc540652-916b-45c5-ae5a-0a0bc557cee1.jpg?1721426509,
Sinister Monolith,B,U,4,D-,,,,https://cards.scryfall.io/large/front/2/a/2a15e06c-2608-4e7a-a16c-d35417669d86.jpg?1721426512,
Stargaze,B,U,2,C-,True,,,https://cards.scryfall.io/large/front/7/7/777fc599-8de7-44d2-8fdd-9bddf5948a0c.jpg?1721426524,
Starlit Soothsayer,B,C,3,D-,,,,https://cards.scryfall.io/large/front/1/8/184c1eca-2991-438f-b5d2-cd2529b9c9b4.jpg?1721426524,
Starscape Cleric,B,U,2,C+,,,,https://cards.scryfall.io/large/front/5/3/53a938a7-0154-4350-87cb-00da24ec3824.jpg?1721426535,
Thornplate Intimidator,B,C,4,C-,,,,https://cards.scryfall.io/large/front/4/2/42f66c4a-feaa-4ba6-aa56-955b43329a9e.jpg?1721426537,
Thought-Stalker Warlock,B,U,3,A-,,,,https://cards.scryfall.io/large/front/4/2/42e80284-d489-493b-ae92-95b742d07cb3.jpg?1721426544,
Valley Rotcaller,B,R,2,A-,,,,https://cards.scryfall.io/large/front/4/d/4da80a9a-b1d5-4fc5-92f7-36946195d0c7.jpg?1721639479,
Essence Channeler,W,R,2,B,True,,,https://cards.scryfall.io/large/front/5/a/5aaf7e4c-4d5d-4acc-a834-e6c4a7629408.jpg?1721425825,
"Wick, the Whorled Mind",B,R,4,C+,,,,https://cards.scryfall.io/large/front/2/9/29089810-d7fb-4abe-b729-bfabed6aed2b.jpg?1721426554,
Wick's Patrol,B,U,6,A-,,,,https://cards.scryfall.io/large/front/5/f/5fa0c53d-fe7b-4b8b-ad81-7967ca318ff7.jpg?1721426557,
Agate Assault,R,C,3,C-,,,,https://cards.scryfall.io/large/front/7/d/7dd9946b-515e-4e0d-9da2-711e126e9fa6.jpg?1721426563,
Alania's Pathmaker,R,C,4,C,,,,https://cards.scryfall.io/large/front/d/3/d3871fe6-e26e-4ab4-bd81-7e3c7b8135c1.jpg?1721426565,
Artist's Talent,R,R,2,F,,,,https://cards.scryfall.io/large/front/8/b/8b9e51d9-189b-4dd6-87cb-628ea6373e81.jpg?1721426571,
Blacksmith's Talent,R,U,1,C+,True,,,https://cards.scryfall.io/large/front/4/b/4bb318fa-481d-40a7-978e-f01b49101ae0.jpg?1721426574,
Blooming Blast,R,U,2,C-,,,,https://cards.scryfall.io/large/front/0/c/0cd92a83-cec3-4085-a929-3f204e3e0140.jpg?1721426579,
Brambleguard Captain,R,U,4,C+,,,,https://cards.scryfall.io/large/front/e/2/e200b8bf-f2f3-4157-8e04-02baf07a963e.jpg?1721426582,
Brazen Collector,R,U,2,C+,,,,https://cards.scryfall.io/large/front/7/8/78b55a58-c669-4dc6-aa63-5d9dff52e613.jpg?1721426587,
Byway Barterer,R,R,3,B-,,,,https://cards.scryfall.io/large/front/f/4/f41fc718-641b-4f32-a8c1-3e5591a05bf8.jpg?1721426591,
Feather of Flight,W,U,2,B-,,,,https://cards.scryfall.io/large/front/9/f/9fb41503-8632-4bf1-9bfe-6d9b9993c337.jpg?1721425833,
Conduct Electricity,R,C,5,D+,,,,https://cards.scryfall.io/large/front/2/f/2f373dd6-2412-453c-85ba-10230dfe473a.jpg?1721426597,
Coruscation Mage,R,U,2,C+,,,,https://cards.scryfall.io/large/front/d/c/dc2c1de0-6233-469a-be72-a050b97d2c8f.jpg?1721426600,
"Dragonhawk, Fate's Tempest",R,M,5,A,,,,https://cards.scryfall.io/large/front/8/6/8659789c-6a2c-439f-a348-b9b1b06c55b8.jpg?1721426605,
Emberheart Challenger,R,R,2,A-,,,,https://cards.scryfall.io/large/front/0/0/0035082e-bb86-4f95-be48-ffc87fe5286d.jpg?1721426609,
Festival of Embers,R,R,5,F,,,,https://cards.scryfall.io/large/front/4/4/4433ee12-2013-4fdc-979f-ae065f63a527.jpg?1721426613,
Flamecache Gecko,R,U,2,B-,,,,https://cards.scryfall.io/large/front/f/b/fb8e7c97-8393-41b8-bb0b-3983dcc5e7f4.jpg?1721426619,
Frilled Sparkshooter,R,C,4,D+,,,,https://cards.scryfall.io/large/front/6/7/674bbd6d-e329-42cf-963d-88d1ce8fe51e.jpg?1721426623,
Harnesser of Storms,R,U,3,D+,,,,https://cards.scryfall.io/large/front/b/5/b56beeb6-88ca-475e-8654-1d4e8b4aa3c0.jpg?1721426630,
Heartfire Hero,R,U,1,B,,,,https://cards.scryfall.io/large/front/4/8/48ace959-66b2-40c8-9bff-fd7ed9c99a82.jpg?1721426632,
Hearthborn Battler,R,R,3,C+,,,,https://cards.scryfall.io/large/front/b/e/bef1cf5c-9738-4062-8cb1-87a372d36687.jpg?1721426641,
Flowerfoot Swordmaster,W,U,1,C+,,,,https://cards.scryfall.io/large/front/9/7/97ff118f-9c3c-43a2-8085-980c7fe7d227.jpg?1721425843,
Hired Claw,R,R,1,B+,,,,https://cards.scryfall.io/large/front/1/a/1ae41080-0d67-4719-adb2-49bf2a268b6c.jpg?1721426641,
Hoarder's Overflow,R,U,2,D-,,,,https://cards.scryfall.io/large/front/c/2/c2ed5079-07b4-4575-a2c8-5f0cbff888c3.jpg?1721426652,
Kindlespark Duo,R,C,3,D-,,,,https://cards.scryfall.io/large/front/a/8/a839fba3-1b66-4dd1-bf43-9b015b44fc81.jpg?1721426652,
Manifold Mouse,R,R,2,A,,,,https://cards.scryfall.io/large/front/d/b/db3832b5-e83f-4569-bd49-fb7b86fa2d47.jpg?1721426663,
Might of the Meek,R,C,1,C-,,,,https://cards.scryfall.io/large/front/5/0/509bf254-8a2b-4dfa-9ae5-386321b35e8b.jpg?1721426663,
Playful Shove,R,U,2,C+,,,,https://cards.scryfall.io/large/front/0/7/07956edf-34c1-4218-9784-ddbca13e380c.jpg?1721426672,
Quaketusk Boar,R,U,5,B-,,,,https://cards.scryfall.io/large/front/2/f/2f2b7fd3-a139-49ea-8a89-b64261e868ef.jpg?1721426673,
Rabid Gnaw,R,U,2,B+,,,,https://cards.scryfall.io/large/front/2/f/2f815bae-820a-49f6-8eed-46f658e7b6ff.jpg?1721426681,
Raccoon Rallier,R,C,2,D+,,,,https://cards.scryfall.io/large/front/b/5/b5b5180f-5a1c-4df8-9019-195e65a50ce3.jpg?1721426682,
Reptilian Recruiter,R,U,5,C,,,,https://cards.scryfall.io/large/front/8/1/81dec453-c9d7-42cb-980a-c82f82bede76.jpg?1721426690,
Harvestrite Host,W,U,3,B+,,,,https://cards.scryfall.io/large/front/4/1/41762689-0c13-4d45-9d81-ba2afad980f8.jpg?1721425845,
Roughshod Duo,R,C,3,C-,,,,https://cards.scryfall.io/large/front/7/8/78cdcfb9-a247-4c2d-a098-5b57570f8cd5.jpg?1721426692,
Sazacap's Brew,R,C,2,D+,,,,https://cards.scryfall.io/large/front/6/d/6d963080-b3ec-467d-82f7-39db6ecd6bbc.jpg?1721426699,
Season of the Bold,R,M,5,C+,,,,https://cards.scryfall.io/large/front/8/4/84352565-558b-4f9b-a411-532147806a78.jpg?1721426701,
Steampath Charger,R,C,2,D+,,,,https://cards.scryfall.io/large/front/0/3/03bf1296-e347-4070-8c6f-5c362c2f9364.jpg?1721426709,
Stormsplitter,R,M,4,D,,,,https://cards.scryfall.io/large/front/5/6/56f214d3-6b93-40db-a693-55e491c8a283.jpg?1721426711,
Sunspine Lynx,R,R,4,D+,,,,https://cards.scryfall.io/large/front/8/9/8995ceaf-b7e0-423c-8f3e-25212d522502.jpg?1721426719,
Take Out the Trash,R,C,2,B-,,,,https://cards.scryfall.io/large/front/7/a/7a1c6f00-af4c-4d35-b682-6c0e759df9a5.jpg?1721426722,
Teapot Slinger,R,U,4,C-,,,,https://cards.scryfall.io/large/front/3/0/30506844-349f-4b68-8cc1-d028c1611cc7.jpg?1721431263,
Valley Flamecaller,R,R,3,B,,,,https://cards.scryfall.io/large/front/a/0/a0812db4-b7d1-4cf7-aaa5-9c0e784079a1.jpg?1721639385,
Valley Rally,R,U,3,D+,,,,https://cards.scryfall.io/large/front/b/6/b6178258-1ad6-4122-a56f-6eb7d0611e84.jpg?1721426740,
Hop to It,W,U,3,B,,,,https://cards.scryfall.io/large/front/e/e/ee7207f8-5daa-42af-aeea-7a489047110b.jpg?1721425854,
War Squeak,R,C,1,D,,,,https://cards.scryfall.io/large/front/1/0/105964a7-88b7-4340-aa66-e908189a3638.jpg?1721426742,
Whiskerquill Scribe,R,C,2,D+,,,,https://cards.scryfall.io/large/front/d/a/da653996-9bd4-40bd-afb4-48c7e070a269.jpg?1721431429,
Wildfire Howl,R,U,3,D+,,,,https://cards.scryfall.io/large/front/7/3/7392d397-9836-4df2-944d-c930c9566811.jpg?1721426754,
Bakersbane Duo,G,C,2,B-,,,,https://cards.scryfall.io/large/front/5/3/5309354f-1ff4-4fa9-9141-01ea2f7588ab.jpg?1721426764,
Bark-Knuckle Boxer,G,U,2,C+,,,,https://cards.scryfall.io/large/front/5/8/582637a9-6aa0-4824-bed7-d5fc91bda35e.jpg?1721426764,
Brambleguard Veteran,G,U,3,C+,,,,https://cards.scryfall.io/large/front/b/a/bac9f6f8-6797-4580-9fc4-9a825872e017.jpg?1721426774,
Bushy Bodyguard,G,U,2,C+,,,,https://cards.scryfall.io/large/front/0/d/0de60cf7-fa82-4b6f-9f88-6590fba5c863.jpg?1721426775,
Cache Grab,G,C,2,B,,,,https://cards.scryfall.io/large/front/d/f/dfd977dc-a7c3-4d0a-aca7-b25bd154e963.jpg?1721426785,
Clifftop Lookout,G,U,3,D+,,,,https://cards.scryfall.io/large/front/6/6/662d3bcc-65f3-4c69-8ea1-446870a1193d.jpg?1721426786,
Curious Forager,G,U,3,C+,,,,https://cards.scryfall.io/large/front/6/4/64653b4a-e139-45f9-a915-ab49afb6b795.jpg?1721426795,
Intrepid Rabbit,W,C,3,B,,,,https://cards.scryfall.io/large/front/4/d/4d70b99d-c8bf-4a56-8957-cf587fe60b81.jpg?1721425856,
Druid of the Spade,G,C,3,C-,,,,https://cards.scryfall.io/large/front/6/b/6b485cf7-bad0-4824-9ba7-cb112ce4769f.jpg?1721426796,
Fecund Greenshell,G,R,5,A+,,,,https://cards.scryfall.io/large/front/8/0/80b3e815-0e2e-4325-b1d5-5531b7b92da6.jpg?1721426804,
For the Common Good,G,R,1,D+,True,,,https://cards.scryfall.io/large/front/3/e/3ec72a27-b622-47d7-bdf3-970ccaef0d2a.jpg?1721426807,
Galewind Moose,G,U,6,C+,,,,https://cards.scryfall.io/large/front/5/8/58706bd8-558a-43b9-9f1e-c1ff0044203b.jpg?1721426814,
Hazardroot Herbalist,G,U,3,D,,,,https://cards.scryfall.io/large/front/e/2/e2882982-b3a3-4762-a550-6b82db1038e8.jpg?1721426818,
Heaped Harvest,G,C,3,C,True,,,https://cards.scryfall.io/large/front/3/b/3b5349db-0e0a-4b15-886e-0db403ef49cb.jpg?1721426825,
High Stride,G,C,1,C,,,,https://cards.scryfall.io/large/front/0/9/09c8cf4b-8e65-4a1c-b458-28b5ab56b390.jpg?1721426829,
Hivespine Wolverine,G,U,5,B-,,,,https://cards.scryfall.io/large/front/8/2/821970a3-a291-4fe9-bb13-dfc54f9c3caf.jpg?1721426835,
Honored Dreyleader,G,U,3,C,,,,https://cards.scryfall.io/large/front/b/c/bc5ee537-52e1-474a-9326-dfacc2a758ab.jpg?1721426839,
Hunter's Talent,G,U,2,A-,,,,https://cards.scryfall.io/large/front/e/9/e9a31863-9649-4a4f-99e4-c93729938bd7.jpg?1721426846,
Jackdaw Savior,W,R,3,B-,,,,https://cards.scryfall.io/large/front/1/2/121af600-6143-450a-9f87-12ce4833f1ec.jpg?1721425865,
Innkeeper's Talent,G,R,2,A+,,,,https://cards.scryfall.io/large/front/9/4/941b0afc-0e8f-45f2-ae7f-07595e164611.jpg?1721814343,
Keen-Eyed Curator,G,R,2,B,,,,https://cards.scryfall.io/large/front/8/c/8cf33d80-0704-4dc4-8e8d-1dcbcbc35add.jpg?1721426856,
Longstalk Brawl,G,C,1,C,,,,https://cards.scryfall.io/large/front/c/7/c7ef748c-b5e5-4e7d-bf2e-d3e6c08edb42.jpg?1721426861,
"Lumra, Bellow of the Woods",G,M,6,A,,,,https://cards.scryfall.io/large/front/a/e/ae4f3aaf-3960-48cd-b34b-32e4ae5ae088.jpg?1721426865,
Mistbreath Elder,G,R,1,B-,,,,https://cards.scryfall.io/large/front/e/5/e5246540-5a84-41d8-9e30-8e7a6c0e84e1.jpg?1721426876,
Overprotect,G,U,2,B-,,,,https://cards.scryfall.io/large/front/0/7/079e979f-b618-4625-989c-e0ea5b61ed8a.jpg?1721426880,
Pawpatch Formation,G,U,2,C+,,,,https://cards.scryfall.io/large/front/b/8/b82c20ad-0f69-4822-ae76-770832cccdf7.jpg?1721426886,
Pawpatch Recruit,G,R,1,B+,,,,https://cards.scryfall.io/large/front/7/d/7d4d88ba-0ee4-4f66-995b-2e50614f50ee.jpg?1721426891,
Peerless Recycling,G,U,2,D,,,,https://cards.scryfall.io/large/front/5/f/5f72466c-505b-4371-9366-0fde525a37e6.jpg?1721426897,
Polliwallop,G,C,4,C+,,,,https://cards.scryfall.io/large/front/6/b/6bc4963c-d90b-4588-bdb7-85956e42a623.jpg?1721426903,
Jolly Gerbils,W,U,2,C+,,True,,https://cards.scryfall.io/large/front/0/e/0eab51d6-ba17-4a8c-8834-25db363f2b6b.jpg?1721425868,
