Name,Rating,Color,Rarity,Notes
Brave-Kin Duo,D+,W,C,
Crumb and Get It,C-,W,C,
Carrot Cake,C+,W,C,
Lifecreed Duo,C,W,C,
Nettle Guard,C+,W,C,
Sonar Strike,C-,W,C,
Warren Elder,C,W,C,
Banishing Light,B-,W,C,
Intrepid Rabbit,C+,W,C,
Thistledown Players,C,W,C,
Rabbit Response,C-,W,C,
Wax-Wane Witness,C,W,C,
Pileated Provisioner,C,W,C,
Flowerfoot Swordmaster,C+,W,U,
Seasoned Warrenguard,C+,W,U,
Brightblade Stoat,B-,W,U,
Builder's Talent,D,W,U,
Lupinflower Village,D+,W,U,
Feather of Flight,C-,W,U,
Jolly Gerbils,C-,W,U,
Mabel's Mettle,D,W,U,
Parting Gust,D+,W,U,
Repel Calamity,C-,W,U,
Dewdrop Cure,C-,W,U,
Harvestrite Host,C-,W,U,
Hop to It,C+,W,U,
Mouse Trapper,C,W,U,
Shrike Force,C+,W,U,
Star Charter,C-,W,U,
Driftgloom Coyote,C+,W,U,
Dawn's Truce,D,W,R,
Essence Channeler,C-,W,R,
Valley Questcaller,B-,W,R,
Caretaker's Talent,D+,W,R,
Jackdaw Savior,C,W,R,
Salvation Swan,B,W,R,
Whiskervale Forerunner,B,W,R,
Starfall Invocation,A-,W,R,
"Beza, the Bounding Spring",B,W,M,
Warren Warleader,A,W,M,
Season of the Burrow,B+,W,M,
Shore Up,C+,U,C,
Bellowing Crier,C-,U,C,
Dazzling Denial,C-,U,C,
Run Away Together,C,U,C,
Thought Shucker,D+,U,C,
Finch Formation,C,U,C,
Nightwhorl Hermit,D,U,C,
Pearl of Wisdom,C,U,C,
Waterspout Warden,C,U,C,
Dire Downdraft,C+,U,C,
Lightshell Duo,C,U,C,
Mind Spiral,C,U,C,
Skyskipper Duo,C-,U,C,
Lilypad Village,C,U,U,
Into the Flood Maw,C+,U,U,
Splash Portal,C+,U,U,
Gossip's Talent,D,U,U,
Long River's Pull,C,U,U,
Otterball Antics,C-,U,U,
Plumecreed Escort,B-,U,U,
Shoreline Looter,C+,U,U,
Mindwhisker,C,U,U,
Long River Lurker,C+,U,U,
Sugar Coat,B-,U,U,
Spellgyre,C,U,U,
Splash Lasher,C+,U,U,
Knightfisher,C+,U,U,
Calamitous Tide,C-,U,U,
Daring Waverider,D+,U,U,
Eddymurk Crab,B,U,U,
Mockingbird,C,U,R,
Portent of Calamity,D+,U,R,
Stormchaser's Talent,C-,U,R,
Azure Beastbinder,B-,U,R,
Dour Port-Mage,C,U,R,
Thundertrap Trainer,C+,U,R,
Valley Floodcaller,C+,U,R,
Kitnap,B-,U,R,
Wishing Well,G,U,R,
"Kitsa, Otterball Elite",C+,U,M,
"Eluge, the Shoreless Sea",C-,U,M,
Season of Weaving,B+,U,M,
Ravine Raider,C,B,C,
Agate-Blade Assassin,C+,B,C,
Bonebind Orator,C,B,C,
Savor,B-,B,C,
Daggerfang Duo,C-,B,C,
Diresight,C+,B,C,
Nocturnal Hunger,B,B,C,
Psychic Whorl,D+,B,C,
Scales of Shale,C-,B,C,
Starlit Soothsayer,C,B,C,
Thornplate Intimidator,C,B,C,
Early Winter,C,B,C,
Glidedive Duo,C-,B,C,
Mudflat Village,D+,B,U,
Bonecache Overseer,C,B,U,
Ruthless Negotiation,D+,B,U,
Bandit's Talent,C-,B,U,
Feed the Cycle,B,B,U,
Fell,B-,B,U,
Persistent Marshstalker,C,B,U,
Stargaze,C-,B,U,
Starscape Cleric,C+,B,U,
Consumed by Greed,C+,B,U,
Moonstone Harbinger,C,B,U,
Thought-Stalker Warlock,B-,B,U,
Downwind Ambusher,C-,B,U,
Hazel's Nocturne,D+,B,U,
Sinister Monolith,D,B,U,
Wick's Patrol,C-,B,U,
Huskburster Swarm,C,B,U,
Iridescent Vinelasher,C,B,R,
Scavenger's Talent,D,B,R,
Cruelclaw's Heist,C,B,R,
Osteomancer Adept,B+,B,R,
Valley Rotcaller,B-,B,R,
Darkstar Augur,B-,B,R,
"Wick, the Whorled Mind",D+,B,R,
Coiling Rebirth,C-,B,R,
"Maha, Its Feathers Night",A+,B,M,
Season of Loss,A-,B,M,
Rottenmouth Viper,B,B,M,
Might of the Meek,C+,R,C,
War Squeak,C-,R,C,
Raccoon Rallier,C,R,C,
Sazacap's Brew,C,R,C,
Steampath Charger,C,R,C,
