Name,Color,Rarity,Kevin,Kevin_num,Nate,Nate_num,Josh,Josh_num,Tier,Tier_num,Kevin_error,Nate_error,Josh_error
Brave-Kin Duo,W,C,C-,4.0,D+,3.0,D+,3.0,D+,3.0,1.0,0.0,0.0
Crumb and Get It,W,C,C-,4.0,C-,4.0,C,5.0,C+,6.0,2.0,2.0,1.0
Carrot Cake,W,C,C,5.0,C+,6.0,D,2.0,B+,9.0,4.0,3.0,7.0
Lifecreed Duo,W,C,C,5.0,C,5.0,C+,6.0,C,5.0,0.0,0.0,1.0
Nettle Guard,W,C,C+,6.0,C+,6.0,C-,4.0,C,5.0,1.0,1.0,1.0
Sonar Strike,W,C,C-,4.0,C-,4.0,C-,4.0,C+,6.0,2.0,2.0,2.0
Warren Elder,W,C,C,5.0,C,5.0,C+,6.0,C+,6.0,1.0,1.0,0.0
Banishing Light,W,C,B-,7.0,B-,7.0,B,8.0,C+,6.0,1.0,1.0,2.0
Intrepid Rabbit,W,C,C,5.0,C+,6.0,D+,3.0,B,8.0,3.0,2.0,5.0
Thistledown Players,W,C,C,5.0,C,5.0,C-,4.0,D+,3.0,2.0,2.0,1.0
Rabbit Response,W,C,C+,6.0,C-,4.0,B-,7.0,C,5.0,1.0,1.0,2.0
Wax-Wane Witness,W,C,C-,4.0,C,5.0,D+,3.0,C-,4.0,0.0,1.0,1.0
Pileated Provisioner,W,C,C,5.0,C,5.0,C-,4.0,D+,3.0,2.0,2.0,1.0
Flowerfoot Swordmaster,W,U,C+,6.0,C+,6.0,C+,6.0,C+,6.0,0.0,0.0,0.0
Seasoned Warrenguard,W,U,C+,6.0,C+,6.0,C,5.0,C+,6.0,0.0,0.0,1.0
Brightblade Stoat,W,U,B,8.0,B-,7.0,C+,6.0,B,8.0,0.0,1.0,2.0
Builder's Talent,W,U,C,5.0,D,2.0,C-,4.0,B-,7.0,2.0,5.0,3.0
Lupinflower Village,W,U,B-,7.0,D+,3.0,C+,6.0,C+,6.0,1.0,3.0,0.0
Feather of Flight,W,U,C-,4.0,C-,4.0,C-,4.0,B-,7.0,3.0,3.0,3.0
Jolly Gerbils,W,U,C-,4.0,C-,4.0,C-,4.0,C+,6.0,2.0,2.0,2.0
Mabel's Mettle,W,U,C,5.0,D,2.0,D+,3.0,C,5.0,0.0,3.0,2.0
Parting Gust,W,U,D,2.0,D+,3.0,D+,3.0,D+,3.0,1.0,0.0,0.0
Repel Calamity,W,U,C-,4.0,C-,4.0,C-,4.0,C+,6.0,2.0,2.0,2.0
Dewdrop Cure,W,U,D+,3.0,C-,4.0,C+,6.0,D-,1.0,2.0,3.0,5.0
Harvestrite Host,W,U,C,5.0,C-,4.0,C+,6.0,B+,9.0,4.0,5.0,3.0
Hop to It,W,U,C+,6.0,C+,6.0,B-,7.0,B,8.0,2.0,2.0,1.0
Mouse Trapper,W,U,C+,6.0,C,5.0,C-,4.0,D+,3.0,3.0,2.0,1.0
Shrike Force,W,U,C,5.0,C+,6.0,C+,6.0,C,5.0,0.0,1.0,1.0
Star Charter,W,U,C,5.0,C-,4.0,C-,4.0,C+,6.0,1.0,2.0,2.0
Driftgloom Coyote,W,U,C,5.0,C+,6.0,C,5.0,C+,6.0,1.0,0.0,1.0
Dawn's Truce,W,R,D,2.0,D,2.0,C+,6.0,D,2.0,0.0,0.0,4.0
Essence Channeler,W,R,A-,10.0,C-,4.0,B+,9.0,B,8.0,2.0,4.0,1.0
Valley Questcaller,W,R,B,8.0,B-,7.0,B,8.0,A,11.0,3.0,4.0,3.0
Caretaker's Talent,W,R,B-,7.0,D+,3.0,C,5.0,B+,9.0,2.0,6.0,4.0
Jackdaw Savior,W,R,B,8.0,C,5.0,B,8.0,B-,7.0,1.0,2.0,1.0
Salvation Swan,W,R,A-,10.0,B,8.0,B-,7.0,B+,9.0,1.0,1.0,2.0
Whiskervale Forerunner,W,R,B+,9.0,B,8.0,B+,9.0,B-,7.0,2.0,1.0,2.0
Starfall Invocation,W,R,A,11.0,A-,10.0,A+,12.0,C,5.0,6.0,5.0,7.0
"Beza, the Bounding Spring",W,M,A+,12.0,B,8.0,A-,10.0,A,11.0,1.0,3.0,1.0
Warren Warleader,W,M,A,11.0,A,11.0,A-,10.0,A+,12.0,1.0,1.0,2.0
Season of the Burrow,W,M,A,11.0,B+,9.0,B,8.0,A,11.0,0.0,2.0,3.0
Shore Up,U,C,C,5.0,C+,6.0,C+,6.0,C+,6.0,1.0,0.0,0.0
Bellowing Crier,U,C,C+,6.0,C-,4.0,C-,4.0,C-,4.0,2.0,0.0,0.0
Dazzling Denial,U,C,C-,4.0,C-,4.0,C+,6.0,C-,4.0,0.0,0.0,2.0
Run Away Together,U,C,C,5.0,C,5.0,D,2.0,C-,4.0,1.0,1.0,2.0
Thought Shucker,U,C,C-,4.0,D+,3.0,D,2.0,D,2.0,2.0,1.0,0.0
Finch Formation,U,C,C-,4.0,C,5.0,C+,6.0,D,2.0,2.0,3.0,4.0
Nightwhorl Hermit,U,C,D+,3.0,D,2.0,D-,1.0,D-,1.0,2.0,1.0,0.0
Pearl of Wisdom,U,C,C-,4.0,C,5.0,C-,4.0,C-,4.0,0.0,1.0,0.0
Waterspout Warden,U,C,C,5.0,C,5.0,C,5.0,D+,3.0,2.0,2.0,2.0
Dire Downdraft,U,C,C,5.0,C+,6.0,C,5.0,C+,6.0,1.0,0.0,1.0
Lightshell Duo,U,C,C+,6.0,C,5.0,C+,6.0,C,5.0,1.0,0.0,1.0
Mind Spiral,U,C,C+,6.0,C,5.0,D+,3.0,C-,4.0,2.0,1.0,1.0
Skyskipper Duo,U,C,C,5.0,C-,4.0,D,2.0,C-,4.0,1.0,0.0,2.0
Lilypad Village,U,U,B,8.0,C,5.0,C+,6.0,C-,4.0,4.0,1.0,2.0
Into the Flood Maw,U,U,C+,6.0,C+,6.0,B-,7.0,C-,4.0,2.0,2.0,3.0
Splash Portal,U,U,B-,7.0,C+,6.0,C-,4.0,C-,4.0,3.0,2.0,0.0
Gossip's Talent,U,U,D+,3.0,D,2.0,D+,3.0,D,2.0,1.0,0.0,1.0
Long River's Pull,U,U,C-,4.0,C,5.0,C+,6.0,D+,3.0,1.0,2.0,3.0
Otterball Antics,U,U,C,5.0,C-,4.0,C-,4.0,D,2.0,3.0,2.0,2.0
Plumecreed Escort,U,U,B-,7.0,B-,7.0,C,5.0,B-,7.0,0.0,0.0,2.0
Shoreline Looter,U,U,B-,7.0,C+,6.0,C+,6.0,A-,10.0,3.0,4.0,4.0
Mindwhisker,U,U,C+,6.0,C,5.0,B,8.0,B,8.0,2.0,3.0,0.0
Long River Lurker,U,U,C,5.0,C+,6.0,C+,6.0,B-,7.0,2.0,1.0,1.0
Sugar Coat,U,U,C-,4.0,B-,7.0,C+,6.0,C,5.0,1.0,2.0,1.0
Spellgyre,U,U,C,5.0,C,5.0,D+,3.0,B-,7.0,2.0,2.0,4.0
Splash Lasher,U,U,C+,6.0,C+,6.0,C+,6.0,B,8.0,2.0,2.0,2.0
Knightfisher,U,U,B,8.0,C+,6.0,C,5.0,C,5.0,3.0,1.0,0.0
Calamitous Tide,U,U,B-,7.0,C-,4.0,C,5.0,C,5.0,2.0,1.0,0.0
Daring Waverider,U,U,B-,7.0,D+,3.0,C+,6.0,B-,7.0,0.0,4.0,1.0
Eddymurk Crab,U,U,B,8.0,B,8.0,C,5.0,B-,7.0,1.0,1.0,2.0
Mockingbird,U,R,B,8.0,C,5.0,C+,6.0,B-,7.0,1.0,2.0,1.0
Portent of Calamity,U,R,C,5.0,D+,3.0,C-,4.0,D,2.0,3.0,1.0,2.0
Stormchaser's Talent,U,R,C+,6.0,C-,4.0,D+,3.0,B+,9.0,3.0,5.0,6.0
Azure Beastbinder,U,R,B,8.0,B-,7.0,B,8.0,B,8.0,0.0,1.0,0.0
Dour Port-Mage,U,R,B,8.0,C,5.0,B-,7.0,B,8.0,0.0,3.0,1.0
Thundertrap Trainer,U,R,B,8.0,C+,6.0,B+,9.0,B+,9.0,1.0,3.0,0.0
Valley Floodcaller,U,R,A-,10.0,C+,6.0,B+,9.0,C-,4.0,6.0,2.0,5.0
Kitnap,U,R,B,8.0,B-,7.0,C+,6.0,B,8.0,0.0,1.0,2.0
Wishing Well,U,R,B+,9.0,G,0.0,G,0.0,D-,1.0,8.0,1.0,1.0
"Kitsa, Otterball Elite",U,M,A-,10.0,C+,6.0,B-,7.0,B-,7.0,3.0,1.0,0.0
"Eluge, the Shoreless Sea",U,M,C-,4.0,C-,4.0,C+,6.0,D-,1.0,3.0,3.0,5.0
Season of Weaving,U,M,A,11.0,B+,9.0,B+,9.0,A,11.0,0.0,2.0,2.0
Ravine Raider,B,C,D+,3.0,C,5.0,D,2.0,C+,6.0,3.0,1.0,4.0
Agate-Blade Assassin,B,C,C,5.0,C+,6.0,D,2.0,C-,4.0,1.0,2.0,2.0
Bonebind Orator,B,C,C+,6.0,C,5.0,D+,3.0,C,5.0,1.0,0.0,2.0
Savor,B,C,B-,7.0,B-,7.0,C,5.0,B,8.0,1.0,1.0,3.0
Daggerfang Duo,B,C,C,5.0,C-,4.0,C,5.0,C,5.0,0.0,1.0,0.0
Diresight,B,C,D,2.0,C+,6.0,C-,4.0,C-,4.0,2.0,2.0,0.0
Nocturnal Hunger,B,C,B-,7.0,B,8.0,C+,6.0,C+,6.0,1.0,2.0,0.0
Psychic Whorl,B,C,D+,3.0,D+,3.0,D+,3.0,D,2.0,1.0,1.0,1.0
Scales of Shale,B,C,D+,3.0,C-,4.0,C-,4.0,B-,7.0,4.0,3.0,3.0
Starlit Soothsayer,B,C,D+,3.0,C,5.0,D+,3.0,D-,1.0,2.0,4.0,2.0
Thornplate Intimidator,B,C,C-,4.0,C,5.0,C,5.0,C-,4.0,0.0,1.0,1.0
Early Winter,B,C,C,5.0,C,5.0,C-,4.0,D+,3.0,2.0,2.0,1.0
Glidedive Duo,B,C,D+,3.0,C-,4.0,D+,3.0,C+,6.0,3.0,2.0,3.0
Mudflat Village,B,U,B-,7.0,D+,3.0,C+,6.0,C+,6.0,1.0,3.0,0.0
Bonecache Overseer,B,U,C+,6.0,C,5.0,G,0.0,B-,7.0,1.0,2.0,7.0
