Name,Rating,Color,Rarity,Notes
1 Jump Scare,C+,W,C,
1 Acrobatic Cheerleader,C,W,C,
1 Fear of Surveillance,C+,W,C,
1 Grand Entryway // Elegant Rotunda,C,W,C,
1 Cult Healer,C-,W,C,
1 Hardened Escort,C-,W,C,
1 Living Phone,D,W,C,
1 Trapped in the Screen,B-,W,C,
1 Friendly Ghost,D,W,C,
1 Unsettling Twins,C+,W,C,
1 Emerge from the Cocoon,C-,W,C,
1 Fear of Immobility,D,W,C,
1 Shepherding Spirits,D+,W,C,
1 Ethereal Armor,C+,W,U,
1 Optimistic Scavenger,C+,W,U,
1 Shardmage's Rescue,C+,W,U,
1 Unwanted Remake,D+,W,U,
1 Veteran Survivor,C+,W,U,
1 Exorcise,C+,W,U,
1 Orphans of the Wheat,B-,W,U,
1 Sheltered by Ghosts,C,W,U,
1 Splitskin Doll,C+,W,U,
1 Surgical Suite // Hospital Room,C+,W,U,
1 Glimmer Seeker,C,W,U,
1 Patched Plaything,C+,W,U,
1 Savior of the Small,C+,W,U,
1 Lionheart Glimmer,C+,W,U,
1 Fear of Abduction,C,W,U,
1 Reluctant Role Model,B+,W,R,
1 Enduring Innocence,C,W,R,
1 Split Up,B,W,R,
"1 Toby, Beastie Befriender",B,W,R,
1 Unidentified Hovership,B,W,R,
1 Leyline of Hope,D-,W,R,
1 Ghostly Dancers,C,W,R,
1 Dollmaker's Shop // Porcelain Gallery,B,W,M,
1 The Wandering Rescuer,A+,W,M,
1 Overlord of the Mistmoors,A+,W,M,
1 Enter the Enigma,C,U,C,
1 Unable to Scream,C,U,C,
1 Creeping Peeper,C+,U,C,
1 Piranha Fly,C,U,C,
1 Stalked Researcher,C+,U,C,
1 Erratic Apparition,D,U,C,
1 Tunnel Surveyor,B-,U,C,
1 Twist Reality,C+,U,C,
1 Clammy Prowler,D,U,C,
1 Vanish from Sight,C,U,C,
1 Daggermaw Megalodon,C,U,C,
1 Bottomless Pool // Locker Room,B-,U,U,
1 Scrabbling Skullcrab,D,U,U,
1 Fear of Isolation,C,U,U,
1 Floodpits Drowner,C+,U,U,
1 Get Out,C,U,U,
1 Paranormal Analyst,B-,U,U,
"1 Stay Hidden, Stay Silent",C+,U,U,
1 Cursed Windbreaker,C+,U,U,
1 Fear of Impostors,C+,U,U,
1 Unnerving Grasp,C+,U,U,
1 Unwilling Vessel,C+,U,U,
1 Ghostly Keybearer,B-,U,U,
1 Fear of Failed Tests,C-,U,U,
1 Fear of Falling,C,U,U,
1 Duskmourn's Domination,C,U,U,
1 Silent Hallcreeper,B+,U,R,
1 Entity Tracker,B+,U,R,
1 The Mindskinner,C-,U,R,
1 The Tale of Tamiyo,D-,U,R,
1 Central Elevator // Promising Stairs,D-,U,R,
1 Enduring Curiosity,B+,U,R,
