Name,Rating,Color,Rarity,Notes
Jump Scare,C+,W,C,
Acrobatic Cheerleader,C,W,C,
Fear of Surveillance,C-,W,C,
Grand Entryway // Elegant Rotunda,C+,W,C,
Cult Healer,C-,W,C,
Hardened Escort,D+,W,C,
Living Phone,C+,W,C,
Trapped in the Screen,C+,W,C,
Friendly Ghost,C-,W,C,
Unsettling Twins,C+,W,C,
Emerge from the Cocoon,D+,W,C,
Fear of Immobility,C,W,C,
Shepherding Spirits,C,W,C,
Ethereal Armor,D+,W,U,
Optimistic Scavenger,C-,W,U,
Shardmage's Rescue,C,W,U,
Unwanted Remake,D,W,U,
Veteran Survivor,C+,W,U,
Exorcise,C,W,U,
Orphans of the Wheat,C,W,U,
Sheltered by Ghosts,C+,W,U,
Splitskin Doll,B-,W,U,
Surgical Suite // Hospital Room,C+,W,U,
Glimmer Seeker,C+,W,U,
Patched Plaything,C+,W,U,
Savior of the Small,C,W,U,
Lionheart Glimmer,C+,W,U,
Fear of Abduction,C,W,U,
Reluctant Role Model,B+,W,R,
Enduring Innocence,A,W,R,
Split Up,B-,W,R,
"Toby, Beastie Befriender",B+,W,R,
Unidentified Hovership,A-,W,R,
Leyline of Hope,D-,W,R,
Ghostly Dancers,C,W,R,
Dollmaker's Shop // Porcelain Gallery,A,W,M,
The Wandering Rescuer,A+,W,M,
Overlord of the Mistmoors,A,W,M,
Enter the Enigma,C,U,C,
Unable to Scream,D+,U,C,
Creeping Peeper,C-,U,C,
Piranha Fly,C-,U,C,
Stalked Researcher,C-,U,C,
Erratic Apparition,D+,U,C,
Tunnel Surveyor,B,U,C,
Twist Reality,C-,U,C,
Clammy Prowler,D,U,C,
Vanish from Sight,C,U,C,
Daggermaw Megalodon,C-,U,C,
Bottomless Pool // Locker Room,B-,U,U,
Scrabbling Skullcrab,C,U,U,
Fear of Isolation,C-,U,U,
Floodpits Drowner,B-,U,U,
Get Out,D+,U,U,
Paranormal Analyst,C+,U,U,
"Stay Hidden, Stay Silent",C+,U,U,
Cursed Windbreaker,C,U,U,
Fear of Impostors,D+,U,U,
Unnerving Grasp,B-,U,U,
Unwilling Vessel,C,U,U,
Ghostly Keybearer,D,U,U,
Fear of Failed Tests,D+,U,U,
Fear of Falling,C-,U,U,
Duskmourn's Domination,B,U,U,
Silent Hallcreeper,A-,U,R,
Entity Tracker,C+,U,R,
The Mindskinner,B,U,R,
The Tale of Tamiyo,C-,U,R,
Central Elevator // Promising Stairs,G,U,R,
Enduring Curiosity,A-,U,R,
Leyline of Transformation,G,U,R,
Marina Vendrell's Grimoire,D-,U,R,
Abhorrent Oculus,A-,U,M,
Mirror Room // Fractured Realm,C,U,M,
Overlord of the Floodpits,A+,U,M,
Fear of Lost Teeth,C+,B,C,
Final Vengeance,C-,B,C,
Give In to Violence,C-,B,C,
Balemurk Leech,D+,B,C,
Innocuous Rat,C-,B,C,
Winter's Intervention,B,B,C,
