Name,Color,Rarity,Kevin,Kevin_num,Nate,Nate_num,Josh,Josh_num,Tier,Tier_num,Kevin_error,Nate_error,Josh_error
Jump Scare,W,C,C+,6.0,C,5.0,C+,6.0,C,5.0,1.0,0.0,1.0
Acrobatic Cheerleader,W,C,C,5.0,C-,4.0,C,5.0,C,5.0,0.0,1.0,0.0
Fear of Surveillance,W,C,C-,4.0,C,5.0,C+,6.0,C-,4.0,0.0,1.0,2.0
Grand Entryway // Elegant Rotunda,W,C,C+,6.0,B-,7.0,C,5.0,C,5.0,1.0,2.0,0.0
Cult Healer,W,C,C-,4.0,C,5.0,C-,4.0,C,5.0,1.0,0.0,1.0
Hardened Escort,W,C,D+,3.0,D+,3.0,C-,4.0,C-,4.0,1.0,1.0,0.0
Living Phone,W,C,C+,6.0,C+,6.0,D,2.0,D-,1.0,5.0,5.0,1.0
Trapped in the Screen,W,C,C+,6.0,B-,7.0,B-,7.0,B-,7.0,1.0,0.0,0.0
Friendly Ghost,W,C,C-,4.0,C-,4.0,D,2.0,D,2.0,2.0,2.0,0.0
Unsettling Twins,W,C,C+,6.0,B,8.0,C+,6.0,C,5.0,1.0,3.0,1.0
Emerge from the Cocoon,W,C,D+,3.0,C-,4.0,C-,4.0,D+,3.0,0.0,1.0,1.0
Fear of Immobility,W,C,C,5.0,D+,3.0,D,2.0,C-,4.0,1.0,1.0,2.0
Shepherding Spirits,W,C,C,5.0,D+,3.0,D+,3.0,D+,3.0,2.0,0.0,0.0
Ethereal Armor,W,U,D+,3.0,C-,4.0,C+,6.0,C+,6.0,3.0,2.0,0.0
Optimistic Scavenger,W,U,C-,4.0,C+,6.0,C+,6.0,B,8.0,4.0,2.0,2.0
Shardmage's Rescue,W,U,C,5.0,C-,4.0,C+,6.0,C+,6.0,1.0,2.0,0.0
Unwanted Remake,W,U,D,2.0,D,2.0,D+,3.0,F,0.0,2.0,2.0,3.0
Veteran Survivor,W,U,C+,6.0,C,5.0,C+,6.0,C-,4.0,2.0,1.0,2.0
Exorcise,W,U,C,5.0,C,5.0,C+,6.0,C+,6.0,1.0,1.0,0.0
Orphans of the Wheat,W,U,C,5.0,B-,7.0,B-,7.0,C+,6.0,1.0,1.0,1.0
Sheltered by Ghosts,W,U,C+,6.0,C+,6.0,C,5.0,B,8.0,2.0,2.0,3.0
Splitskin Doll,W,U,B-,7.0,C+,6.0,C+,6.0,B-,7.0,0.0,1.0,1.0
Surgical Suite // Hospital Room,W,U,C+,6.0,C-,4.0,C+,6.0,C+,6.0,0.0,2.0,0.0
Glimmer Seeker,W,U,C+,6.0,C,5.0,C,5.0,C+,6.0,0.0,1.0,1.0
Patched Plaything,W,U,C+,6.0,B-,7.0,C+,6.0,C+,6.0,0.0,1.0,0.0
Savior of the Small,W,U,C,5.0,C-,4.0,C+,6.0,C,5.0,0.0,1.0,1.0
Lionheart Glimmer,W,U,C+,6.0,C,5.0,C+,6.0,C+,6.0,0.0,1.0,0.0
Fear of Abduction,W,U,C,5.0,C+,6.0,C,5.0,B-,7.0,2.0,1.0,2.0
Reluctant Role Model,W,R,B+,9.0,B-,7.0,B+,9.0,A,11.0,2.0,4.0,2.0
Enduring Innocence,W,R,A,11.0,B,8.0,C,5.0,B+,9.0,2.0,1.0,4.0
Split Up,W,R,B-,7.0,D+,3.0,B,8.0,B+,9.0,2.0,6.0,1.0
"Toby, Beastie Befriender",W,R,B+,9.0,C+,6.0,B,8.0,C,5.0,4.0,1.0,3.0
Unidentified Hovership,W,R,A-,10.0,B-,7.0,B,8.0,A-,10.0,0.0,3.0,2.0
Leyline of Hope,W,R,D-,1.0,D-,1.0,D-,1.0,F,0.0,1.0,1.0,1.0
Ghostly Dancers,W,R,C,5.0,B-,7.0,C,5.0,A,11.0,6.0,4.0,6.0
Dollmaker's Shop // Porcelain Gallery,W,M,A,11.0,C,5.0,B,8.0,B+,9.0,2.0,4.0,1.0
