Name,Color,Rarity,Mana Value,Tier,Synergy,Buildaround,Comment,Image,Image Back
Abuelo's Awakening,W,R,4,D+,,,,https://cards.scryfall.io/large/front/f/9/f93b725e-2b9c-4830-ac54-b2562afe09bb.jpg?1699043056,
Dusk Rose Reliquary,W,U,1,B-,,,,https://cards.scryfall.io/large/front/a/5/a5f231ef-4167-4b0a-b54c-a098b2eb2f6f.jpg?1699043151,
Deathcap Marionette,B,C,2,C+,,,,https://cards.scryfall.io/large/front/c/c/ccc9d22c-dfce-4136-aed8-a5fe9bb852f2.jpg?1699044113,
Deep Goblin Skulltaker,B,C,3,D-,,,,https://cards.scryfall.io/large/front/0/b/0b24bb7c-6b34-48b6-af94-f312ebdbb759.jpg?1699044120,
Deep-Cavern Bat,B,U,2,A-,,,,https://cards.scryfall.io/large/front/6/9/69c68c95-b788-43b1-9f22-1b22c5a00b25.jpg?1699044121,
Defossilize,B,U,5,C+,True,,Good with Landcyclers,https://cards.scryfall.io/large/front/3/d/3d9abaec-af72-4399-b162-5e62e7487242.jpg?1699044122,
Echo of Dusk,B,C,2,C-,,,,https://cards.scryfall.io/large/front/3/1/319a457c-89b7-47f6-a13c-20bb50d41138.jpg?1699044129,
Fanatical Offering,B,C,2,C+,,,,https://cards.scryfall.io/large/front/d/8/d896dd52-b134-4b55-ab91-ccb05ecc50f4.jpg?1699044130,
Fungal Fortitude,B,C,2,D+,,,,https://cards.scryfall.io/large/front/9/d/9d2bd0ca-521c-45d9-85ed-2f36f583408e.jpg?1699044131,
Gargantuan Leech,B,U,8,D,,,,https://cards.scryfall.io/large/front/9/4/94724efb-4785-4751-9fe1-07f243dd6008.jpg?1699044138,
Grasping Shadows,B,U,4,D-,,,,https://cards.scryfall.io/large/front/8/1/81b8b9c9-725d-476d-a3cf-55e3dc3e433d.jpg?1699049867,https://cards.scryfall.io/large/back/8/1/81b8b9c9-725d-476d-a3cf-55e3dc3e433d.jpg?1699049867
Greedy Freebooter,B,C,1,D,,,,https://cards.scryfall.io/large/front/6/9/692fe4e8-13b4-4bec-938e-a8073a7fbd71.jpg?1699044146,
Envoy of Okinec Ahau,W,C,3,D+,,,,https://cards.scryfall.io/large/front/9/6/96de0741-9270-4118-bb8e-f3480c75a582.jpg?1699043160,
Join the Dead,B,C,3,C+,,,,https://cards.scryfall.io/large/front/b/5/b5bf6c25-a7d7-40b6-aa19-f852d348967f.jpg?1699044147,
Malicious Eclipse,B,U,3,SB,,,,https://cards.scryfall.io/large/front/2/7/2796fffa-8cbf-4ec9-91a8-7b6f39fd50ec.jpg?1699044152,
Mephitic Draught,B,C,2,D,True,,For B sacrifice decks,https://cards.scryfall.io/large/front/a/d/adcae196-dbcc-44d5-b700-c57b0b646483.jpg?1699044154,
Preacher of the Schism,B,R,3,A,,,,https://cards.scryfall.io/large/front/8/9/89345f55-2b32-4356-945a-d56dded39909.jpg?1699044158,
Primordial Gnawer,B,C,5,D+,,,,https://cards.scryfall.io/large/front/a/1/a18f5ad0-e9c1-4e45-b245-2946e29baecb.jpg?1699044162,
Queen's Bay Paladin,B,R,5,D+,,True,,https://cards.scryfall.io/large/front/d/0/d0a3339d-6067-4af5-9536-7e2d5ddd8918.jpg?1699044164,
Rampaging Spiketail,B,C,6,C-,,,,https://cards.scryfall.io/large/front/a/a/aad0adcb-80e5-4c6d-bcdd-9e5d18c017b3.jpg?1699044168,
Ray of Ruin,B,C,5,C,,,,https://cards.scryfall.io/large/front/d/4/d440d90e-ac7e-4715-971a-700c977c7fde.jpg?1699044171,
Screaming Phantom,B,C,3,D,,,,https://cards.scryfall.io/large/front/b/c/bc2f3efb-1526-48c0-842a-374af63ea467.jpg?1699044172,
Skullcap Snail,B,C,2,C-,,,,https://cards.scryfall.io/large/front/0/d/0d96d019-5d80-468a-b891-e3e99346372a.jpg?1699044176,
Fabrication Foundry,W,R,2,D,True,,,https://cards.scryfall.io/large/front/3/2/323a05ee-8296-41c0-94ab-00913d9d84f1.jpg?1699043169,
