Name,Notes,Jon,Color
Forum Familiar,,D,W
Krovod Haunch,,C-,W
Wrench,,D,W
Perimeter Enforcer,,D+,W
Call a Surprise Witness,,D+,W
Case of the Gateway Express,,C-,W
Case of the Pilfered Proof,,C,W
Neighborhood Guardian,,C,W
Not on My Watch,,C,W
Sanctuary Wall,,C-,W
Case File Auditor,,D,W
Karlov Watchdog,,C,W
Absolving Lammasu,,D+,W
Essence of Antiquity,,D-,W
,,,
Candlestick,,C-,U
Case of the Filched Falcon,,B-,U
Curious Inquiry,,C+,U
Mistway Spy,,C,U
Burden of Proof,,D+,U
Eliminate the Impossible,,C+,U
Exit Specialist,,B-,U
Fae Flight,,C-,U
Forensic Researcher,,C-,U
Furtive Courier,,C+,U
Sudden Setback,,C+,U
Surveillance Monitor,,C,U
Living Conundrum,,D,U
Agency Outfitter,,D,U
,,,
Case of the Gorgon's Kiss,,D,B
Festerleech,,G,B
Lead Pipe,,D,B
Leering Onlooker,,B-,B
Long Goodbye,,B,B
Presumed Dead,,C,B
Clandestine Meddler,,C+,B
Slimy Dualleech,,C-,B
Nightdrinker Moroii,,D,B
Soul Enervation,,C+,B
It Doesn't Add Up,,C,B
Polygraph Orb,,D,B
Undercity Eliminator,,B,B
Persuasive Interrogators,,C-,B
,,,
Convenient Target,,D+,R
Frantic Scapegoat,,C,R
Knife,,D+,R
Torch the Witness,,C+,R
Concealed Weapon,,D+,R
Expose the Culprit,,C-,R
Reckless Detective,,D,R
Vengeful Tracker,,C,R
Case of the Burning Masks,,B-,R
Crime Novelist,,C-,R
Harried Dronesmith,,C,R
Caught Red-Handed,,C-,R
Cornered Crook,,C+,R
Bolrac-Clan Basher,,C,R
,,,
Get a Leg Up,,C-,G
Hard-Hitting Question,,B-,G
Hedge Whisperer,,C,G
Rope,,D+,G
Aftermath Analyst,,D-,G
Flourishing Bloom-Kin,,C,G
Case of the Trampled Garden,,B,G
Pompous Gadabout,,C,G
Sample Collector,,C+,G
Chalk Outline,,D,G
Greenbelt Radical,,B-,G
A Killer Among Us,,C+,G
Culvert Ambusher,,C+,G
Glint Weaver,,D,G
,,,
No More Lies,,C,M
Private Eye,,C+,M
Curious Cadaver,,C-,M
Coerced to Kill,,C,M
Rune-Brand Juggler,,C+,M
Deadly Complication,,B,M
Break Out,,D+,M
Tin Street Gossip,,C-,M
Sumala Sentry,,C+,M
Buried in the Garden,,B,M
Soul Search,,C-,M
Wispdrinker Vampire,,C,M
Gleaming Geardrake,,B-,M
Detective's Satchel,,C+,M
Insidious Roots,,C,M
Kraul Whipcracker,,C+,M
Lightning Helix,,B,M
Meddling Youths,,B,M
Evidence Examiner,added by kevin,C,M
Repulsive Mutation,added by kevin,C,M
Push // Pull,added by kevin,C,M
Hustle // Bustle,added by kevin,C,M
Cease // Desist,added by kevin,C,M
Fuss // Bother,added by kevin,C,M
Flotsam // Jetsam,added by kevin,C,M
,,,
Case of the Shattered Pact,,D,C
Lumbering Laundry,,D,C
Magnetic Snuffler,,C-,C
Branch of Vitu-Ghazi,,C-,L
Scene of the Crime,,C-,L
