Name,Notes,Kevin,Color,Rarity
Novice Inspector,,B-,W,C
Auspicious Arrival,,C-,W,C
Marketwatch Phantom,,C,W,C
Seasoned Consultant,,D+,W,C
Due Diligence,,D,W,C
Inside Source,,C+,W,C
Make Your Move,,D+,W,C
Makeshift Binding,,C+,W,C
Griffnaut Tracker,,D+,W,C
Museum Nightwatch,,C+,W,C
On the Job,,D,W,C
Haazda Vigilante,,C-,W,C
Defenestrated Phantom,,C,W,C
,,,,
Behind the Mask,what enablers to collect evidence?,D-,U,C
Bubble Smuggler,good enabler for control or aggro ,C,U,C
Deduce,,D+,U,C
Jaded Analyst,,D,U,C
Reasonable Doubt,,C,U,C
Unauthorized Exit,,D+,U,C
Crimestopper Sprite,,C,U,C
Dramatic Accusation,,D+,U,C
Projektor Inspector,,C-,U,C
Cold Case Cracker,,C,U,C
Out Cold,,D,U,C
Benthic Criminologists,,C,U,C
Hotshot Investigators,,C,U,C
,,,,
Slice from the Shadows,,C-,B,C
Snarling Gorehound,,D,B,C
Toxin Analysis,,C,B,C
Extract a Confession,,C,B,C
Repeat Offender,,D+,B,C
Unscrupulous Agent,,D+,B,C
Alley Assailant,,C-,B,C
Cerebral Confiscation,,C-,B,C
Murder,,C+,B,C
Macabre Reconstruction,,D+,B,C
Rot Farm Mortipede,,D+,B,C
Agency Coroner,,C-,B,C
Basilica Stalker,,C,B,C
,,,,
Felonious Rage,,C-,R,C
Goblin Maskmaker,,D+,R,C
Shock,,B-,R,C
Demand Answers,,C-,R,C
Galvanize,,B-,R,C
Innocent Bystander,,D+,R,C
Red Herring,,D+,R,C
Gearbane Orangutan,,C,R,C
The Chase Is On,,D,R,C
Person of Interest,,C+,R,C
Offender at Large,,C,R,C
Rubblebelt Braggart,,C-,R,C
Suspicious Detonation,,C-,R,C
,,,,
Pick Your Poison,,D+,G,C
Rubblebelt Maverick,,D,G,C
Fanatical Strength,,C-,G,C
Nervous Gardener,,C-,G,C
Tunnel Tipster,,C,G,C
Vitu-Ghazi Inspector,,D+,G,C
Airtight Alibi,,D,G,C
Slime Against Humanity,,D,G,C
They Went This Way,,C-,G,C
Bite Down on Crime,,C-,G,C
Loxodon Eavesdropper,,D,G,C
Vengeful Creeper,,D+,G,C
Topiary Panther,,C,G,C
,,,,
Granite Witness,,C+,M,C
Faerie Snoop,,C,M,C
Shady Informant,,C-,M,C
Riftburst Hellion,,C-,M,C
Crowd-Control Warden,,C,M,C
Sanguine Savior,,B,M,C
Gadget Technician,,B,M,C
Rakish Scoundrel,,C+,M,C
Dog Walker,,B,M,C
Undercover Crocodelf,,B,M,C
,,,,
Thinking Cap,,D+,C,C
Gravestone Strider,,D,C,C
Sanitation Automaton,,D,C,C
Magnifying Glass,,D,C,C
Escape Tunnel,,C+,L,C
Public Thoroughfare,,C,L,C
