Name,Notes,Nate,Color
Novice Inspector,This is Thraben Inspector with a relevant creature type stapled to it. It's my favorite of the common 1-drops by a good bit,B-,W
Auspicious Arrival,Bad combat trick is bad,D-,W
Marketwatch Phantom,"Bear with a relevant creature type and solid upside- watch out for this guy in the right decks, I like him quite a bit",B-,W
Seasoned Consultant,"Does not block well, maybe a decent emergency playable in R/W but I do not like this in most decks",D,W
Due Diligence,Does not draw you a card or give free spells. Normal service has resumed for these terrible enchantments,D-,W
Inside Source,"This is an interesting one... neither body having flying hurts quite a bit, but still 2 bodies and 3/3 of stats with a little upside is solid",C+,W
Make Your Move,"Bad removal gets points for being removal, definitely would prefer not to play this if I can avoid it",D+,W
Makeshift Binding,"This is white's premium removal spell at common, these usually play pretty well. 3 mana hurts a bit, but gaining 2 life is not the worst",B-,W
Griffnaut Tracker,"Graveyard hate will be relevant in this set, and I like the relevant creature type. Should be okay, but I am never happy to run more than 1 (and even the first is mid)",C-,W
Museum Nightwatch,"I don't love this, but it should play fine considering it is flexible and leaves behind a 2/2 detective. Still, 4 mana 3/2 is not good on its own.",C-,W
On the Job,"Bad mass pump effect is bad. Might play okay in the right deck, but for the most part this is only emerency playable",D,W
Haazda Vigilante,Needs other board presence (and a specific type of board presence) to be anything more than a 5 mana 4/4. Just not good in limited these days,D-,W
Defenestrated Phantom,I'm kinda interested in this as flexible topend for a white deck as a 1 of. Beyond that is pushing it unless this format is unusually slow,C-,W
,,,
Behind the Mask,"I guess this can be used either offensively or defensively, but I still hate these type of combat tricks until proven otherwise",D-,U
Bubble Smuggler,"Some points for flexibility, but a 2 mana 2/1 is just not very good and neither is a 3+6 mana 6/5 so I still just don't like this except in emergencies",D+,U
Deduce,"It being an instant helps a little, but this will probably play as well as cheap, middling cycling card does in most formats",C-,U
Jaded Analyst,"Having 2 toughness hurts so much, it still trades for the vast majority of 2 drops. I hate this thing",D,U
Reasonable Doubt,"Maybe this sounds crazy, but I kinda think that this could be okay as a 1-of in some matchups. Having some use when it isn't countering something helps a little",D+,U
Unauthorized Exit,"Instant speed bounce + some surveil value- should play fine, better if the format is more aggressive",C,U
Crimestopper Sprite,"Now this guy is where it's at for blue commons. 3 mana 2/2 flying tap something and maybe put a stun counter on it, good early and good late",B-,U
