Name,Notes,Nate,Color
Case of the Uneaten Feast,"This looks pretty impossible to flip in most decks- if you can flip it, it's good but win more, otherwise, it's terrible- build around C+",D-,W
Assemble the Players,"A little slow for the early game, but if you do draw more than one card off of this it could provide a lot of value (hopeful grade, this may also be like a D+)",C+,W
Doorkeeper Thrull,"This is more annoying than it is good, too situational and it being symmetrical hurts a lot in limited",D+,W
Tenth District Hero,"A new take on Figure of Destiny, if you can collect evidence quickly this is insane and a 2 mana 2/3 plays great anyways",B+,W
Unyielding Gatekeeper,"Giving your opponent a 2/2 detective hurts this so much, the blink and emergency removal is cool design though.",C,W
"Delney, Streetwise Lookout","This is a commander card, in limited it will be sweet in the right deck but does nothing by itself, so it's pretty mid (build around B+)",C-,W
Wojek Investigator,"3-mana 2/4 flying, vig with upside of drawing cards or forcing your opponents to live off the top? Yes please.",A,W
Aurelia's Vindicator,"The flip ability can win games next to by itself, I see this as mainly a disguise creature but one I like a lot",A-,W
No Witnesses,"It's a 4 mana unconditional wrath. It gets an A+. An A level card, minimum.",A+,W
,,,
Lost in the Maze,"I could see this being a finisher in some decks, it looks solid but not great",B-,U
Proft's Eidetic Memory,"Commander card, it cycles and gives 1 +1/+1 counter in limited, maybe a little more but just not enough to be good",D+,U
Case of the Ransacked Lab,Good luck flipping this thing- looks fun in commander though!,G,U
Coveted Falcon,"It's funny, I don't think this will be super good and you ever want to give up more than like 1-2 permanents (I hope I'm very wrong)",D+,U
Cryptic Coat,"Can't be blocked is an insane keyword, this card is insane- you can just KEEP DOING IT for 5 mana???",A+,U
Forensic Gadgeteer,"1 mana to sac clues for a card is huge in the right deck, doesn't win games on its own but cool to build around  (build around B)",C+,U
Steamcore Scholar,"3 mana 2/2 flying, vig is already pretty good, staple some card draw/selection on it and you've got a very solid card.",B,U
Reenact the Crime,"Too situational, but I will be salty when I inevitably lose to this.",D-,U
Intrude on the Mind,"This is better Open the Fae Court, for some reason... still significantly better than that, but a little slower than I'd like",B-,U
Conspiracy Unraveler,"Too expensive to be super insane, but free spells are still crazy good. The problem is, what are you casting for free with this? Your topdecks?  (I want this to be insane so bad)",D,U
,,,
Case of the Stashed Skeleton,I love this so much. Either you get a 2 mana 2/1 menace/ can't block forever or your thing gets traded for and you get a Demonic Tutor on any future turn. I will play all of these.,A-,B
Homicide Investigator,"Bear with upside that's decent but not great. It's okay, I guess",C,B
Outrageous Robbery,"Fixed Villanous Wealth, I love it. It effectively reads ""you draw X cards from your opponent's deck and can play them whenever you want with mana of any color"". Not broken, but good.",B,B
Hunted Bonebrute,"I don't get this guy. Seems pretty mid, but there must be something I'm missing. I guess it will trade for 2 of your opponents creatures like every time (please prove me wrong)",C+,B
Illicit Masquerade,"Looks like fun, but requires a board presence to do anything so probably just too win-more to be good. ",D,B
Barbed Servitor,"Really cool upgraded Toski design, you can get extra cards or OP takes two of their creatures' powers in damage- not mega busted but seems good",B,B
"Massacre Girl, Known Killer",The definition of remove on sight. This girl is BUSTED.,A+,B
Deadly Cover-Up,"A SECOND unconditional wrath? It's five mana, but has more upside than the 4-mana one. It's still an A.",A,B
