Name,Notes,Nate,Color
Forum Familiar,"It's just a 1 mana 1/1 no text with some flexibility. This will be the Mischevious Pup of this format, underwhelming but okay in a pinch",C-,W
Krovod Haunch,"Not a fan of this at 1 mana, but at 3 mana this could be interesting. Still gonna take some convincing on this one",D+,W
Wrench,"Giving vig is nice, I guess... the tap ability and equip cost is just too slow for this to be good",D,W
Perimeter Enforcer,"In the detective deck, I like this and it could be really annoying- otherwise, it's no Bat.",C+,W
Call a Surprise Witness,I do like that this gives flying and it comes in untapped... still not super good though,C-,W
Case of the Gateway Express,"This will be bad in blocking decks, pretty good in attacking decks- I can see this being one of the key finishers for an aggresive deck",C+,W
Case of the Pilfered Proof,"Good in the right deck, unplayable outside of it",C-,W
Neighborhood Guardian,Bear with solid upside usually is solid- if you can trigger this multiple times a turn then it can get to be pretty good,C+,W
Not on My Watch,Upgraded and cheaper Kill Shot... seems good but not great,B-,W
Sanctuary Wall,"Big booty and a tapper, this should play okay for that... which is not very well",D+,W
Case File Auditor,"Cool in the right deck, otherwise this is pretty weak for 3 mana",D+,W
Karlov Watchdog,"2 toughness hurts, but if disguise is as important to this set as I think it will be these abilities will make attacky decks very happy",C+,W
Absolving Lammasu,"I like this guy quite a bit, if I'm going to play a 5 drop in modern limited it needs this much text, stats, and keywords. ",C+,W
Essence of Antiquity,"Holy 10 toughness this is gonna be annoying to punch through, 1 power is super nice, and the flip ability is great. I am a big fan, and the untap will lead to some huge blowouts because you can't respond to it- I love a defensive ambush  (hopium)",C+,W
,,,
Candlestick,Put it with the rest of the barely playable uncommon equipment- at least it's a clue later?,D+,U
Case of the Filched Falcon,"In the right deck, this will play very well. If you don't have much artifact generation, this is terrible and is 3 mana to cycle",C-,U
Curious Inquiry,"With enough fliers/evasion, this could play well. If you don't have much evasion, do not ever play this.",C-,U
Mistway Spy,"As the only 1 drop flying creature in the set, its ability only acting on turning face up is for the good of the format. Pretty mid overall",C,U
Burden of Proof,"The Eaten By Piranhas of this set- does not remove abilities, but gives some value on your creatures. My guess is it'll play similarly",C,U
Eliminate the Impossible,Oh this is gonna get people good- it's Cogwork Wrestler's ability for OP's entire team plus a Clue token for 2 mana.,C+,U
