Name,Color,Rarity,Mana Value,Tier,Synergy,Buildaround,Comment,Image,Image Back
Mentor of the Meek,W,U,3,C+,,,,https://cards.scryfall.io/large/front/1/0/10c78b83-49d4-48c6-8aef-497541431c77.jpg?1673147023,
Putrid Warrior,M,C,2,C-,,,,https://cards.scryfall.io/large/front/1/7/17fce298-3338-4f41-8156-ab6322951a76.jpg?1562900768,
Enlisted Wurm,M,U,6,A-,,,,https://cards.scryfall.io/large/front/6/6/66605149-3959-4a51-8400-350e6fac2ab2.jpg?1562641740,
Treacherous Terrain,M,U,8,D,,,,https://cards.scryfall.io/large/front/1/2/12a439ea-4454-4178-b005-0ab254d369cd.jpg?1562389088,
Monologue Tax,W,R,3,F,,,,https://cards.scryfall.io/large/front/e/9/e9449f23-6a14-453b-8bb6-5cf85ed7a851.jpg?1625191070,
Mystery Key,U,U,2,D+,True,,,https://cards.scryfall.io/large/front/8/8/8894a0f5-2e1d-474f-9400-bdaa91b19fda.jpg?1674135691,
Maverick Thopterist,M,U,5,A,,,,https://cards.scryfall.io/large/front/1/0/1022eb7c-4195-41dc-acdb-ac42ddaec45e.jpg?1561758876,
Possibility Storm,R,R,5,F,,,,https://cards.scryfall.io/large/front/8/5/858aa831-b491-4f1e-bb56-33eeca14771d.jpg?1707764746,
Ghost Quarter,L,U,0,F,,,,https://cards.scryfall.io/large/front/8/9/893eb7e4-5d8d-477b-aaa7-fb85ef2a54fc.jpg?1593274088,
Spell Snare,U,U,1,F,,,,https://cards.scryfall.io/large/front/3/5/35554fdf-c70a-4baa-a35a-414caa9978be.jpg?1593272766,
Stromkirk Captain,M,U,3,D+,,,,https://cards.scryfall.io/large/front/5/b/5bfcca87-04f8-480a-bae6-ae87f7afb7e1.jpg?1562916666,
Burden of Guilt,W,C,1,F,,,,https://cards.scryfall.io/large/front/d/7/d7440288-6c55-4502-bf20-3c5b50a2de5a.jpg?1562946355,
Goblin Warchief,R,U,3,D-,,,,https://cards.scryfall.io/large/front/5/b/5bac033c-dc4e-40a0-b103-4892e4b50249.jpg?1562736294,
"Syr Konrad, the Grim",B,U,5,C+,,,,https://cards.scryfall.io/large/front/a/8/a808868f-aea8-4651-9357-85a4d7b4f290.jpg?1572490254,
Consign // Oblivion,M,U,7,B-,,,,https://cards.scryfall.io/large/front/1/c/1c1ead90-10d8-4217-80e4-6f40320c5569.jpg?1562791309,
Gnaw to the Bone,G,C,3,F,,,,https://cards.scryfall.io/large/front/4/1/416148c8-13d3-46d3-ac93-6eb7cbab2881.jpg?1562829128,
Nyx Weaver,M,U,3,C+,,,,https://cards.scryfall.io/large/front/0/e/0e8553cc-8f61-4022-97c9-e31183b65059.jpg?1707764829,
Metalspinner's Puzzleknot,C,C,2,F,,,,https://cards.scryfall.io/large/front/9/b/9b1639c3-f22d-4246-9252-219a4b2b2999.jpg?1707764860,
Smuggler's Copter,C,R,2,A,,,,https://cards.scryfall.io/large/front/7/8/7832abb5-5107-4603-904e-491b221bd3e3.jpg?1705435031,
Millstone,C,U,2,F,,,,https://cards.scryfall.io/large/front/2/3/23f28acb-8ccb-4b89-ba7f-ff7ce59852aa.jpg?1562827096,
Leonin Relic-Warder,W,U,2,B,,,,https://cards.scryfall.io/large/front/d/d/dd0900e1-df78-466d-b747-33f22c273d67.jpg?1562615358,
