Name,Notes,Rating,Color,Rarity
Armored Armadillo,,D,W,C
Steer Clear,,C-,W,C
Eriette's Lullaby,,C-,W,C
Outlaw Medic,,C,W,C
Sterling Keykeeper,,C-,W,C
Take Up the Shield,,C+,W,C
Trained Arynx,,C,W,C
Holy Cow,,C+,W,C
Inventive Wingsmith,,C+,W,C
Mystical Tether,,B,W,C
Vengeful Townsfolk,,D+,W,C
Bridled Bighorn,,C+,W,C
Wanted Griffin,,C,W,C
Stagecoach Security,,C,W,C
Sterling Supplier,,C-,W,C
Getaway Glamer,,D,W,U
Nurturing Pixie,,D+,W,U
Requisition Raid,,D+,W,U
Rustler Rampage,,D+,W,U
Bovine Intervention,,D,W,U
Frontier Seeker,,B-,W,U
Omenport Vigilante,,C+,W,U
Prairie Dog,,B,W,U
Sheriff of Safe Passage,,C-,W,U
Thunder Lasso,,D+,W,U
Lassoed by the Law,,A-,W,U
Prosperity Tycoon,,C+,W,U
Shepherd of the Clouds,,C,W,U
Bounding Felidar,,C,W,U
Harrier Strix,,D+,U,C
Jailbreak Scheme,,D,U,C
Phantom Interference,,C+,U,C
Take the Fall,,C,U,C
Failed Fording,,C-,U,C
Razzle-Dazzler,,C,U,C
Spring Splasher,,D+,U,C
Geyser Drake,,C+,U,C
Seize the Secrets,,C-,U,C
Slickshot Vault-Buster,,C+,U,C
Daring Thunder-Thief,,C+,U,C
Loan Shark,,C+,U,C
Stop Cold,,C,U,C
Djinn of Fool's Fall,,D+,U,C
Peerless Ropemaster,,D+,U,C
Metamorphic Blast,,B-,U,U
Canyon Crab,,C+,U,U
Emergent Haunting,,B,U,U
Fleeting Reflection,,C,U,U
Shifting Grift,,C,U,U
Deepmuck Desperado,,D,U,U
Nimble Brigand,,D+,U,U
Shackle Slinger,,D+,U,U
Slickshot Lockpicker,,B-,U,U
Outlaw Stitcher,,B,U,U
Plan the Heist,,B,U,U
Visage Bandit,,C,U,U
Marauding Sphinx,,C,U,U
This Town Ain't Big Enough,,C+,U,U
Corrupted Conviction,,C-,B,C
Nezumi Linkbreaker,,C-,B,C
Skulduggery,,C,B,C
Desert's Due,,C+,B,C
Desperate Bloodseeker,,B-,B,C
Fake Your Own Death,,D+,B,C
Mourner's Surprise,,C,B,C
Raven of Fell Omens,,C-,B,C
Blacksnag Buzzard,,D+,B,C
Vault Plunderer,,B-,B,C
Boneyard Desecrator,,D+,B,C
Consuming Ashes,,C+,B,C
Rooftop Assassin,,D,B,C
Overzealous Muscle,,C,B,C
Ambush Gigapede,,C-,B,C
Forsaken Miner,,C+,B,U
Unfortunate Accident,,B-,B,U
Binding Negotiation,,D+,B,U
Blood Hustler,,C,B,U
Lively Dirge,,B-,B,U
Servant of the Stinger,,B,B,U
Shoot the Sheriff,,B+,B,U
Treasure Dredger,,B-,B,U
Neutralize the Guards,,C-,B,U
Rakish Crew,,D,B,U
Rattleback Apothecary,,C+,B,U
Unscrupulous Contractor,,C+,B,U
Rictus Robber,,C+,B,U
Hollow Marauder,,B-,B,U
Explosive Derailment,,C+,R,C
Quick Draw,,D+,R,C
Reckless Lackey,,C+,R,C
Deadeye Duelist,,D+,R,C
Discerning Peddler,,C+,R,C
Highway Robbery,,C-,R,C
Thunder Salvo,,C+,R,C
Irascible Wolverine,,C,R,C
Mine Raider,,B-,R,C
Outlaws' Fury,,C+,R,C
Prickly Pair,,B,R,C
Quilled Charger,,C-,R,C
Rodeo Pyromancers,,C,R,C
Iron-Fist Pulverizer,,C-,R,C
Trick Shot,,D+,R,C
Brimstone Roundup,,D,R,U
Caught in the Crossfire,,D,R,U
Cunning Coyote,,C+,R,U
Demonic Ruckus,,C-,R,U
Magebane Lizard,,D+,R,U
Resilient Roadrunner,,C,R,U
Return the Favor,,B+,R,U
Scorching Shot,,B-,R,U
Ferocification,,D,R,U
Gila Courser,,D+,R,U
Longhorn Sharpshooter,,B-,R,U
Scalestorm Summoner,,B,R,U
Take for a Ride,,C-,R,U
Hellspur Brute,,B,R,U
