Name,Notes,Rating,Color,Rarity
Armored Armadillo,,D+,W,C
Steer Clear,,C-,W,C
Eriette's Lullaby,,C-,W,C
Outlaw Medic,,C+,W,C
Sterling Keykeeper,,C-,W,C
Take Up the Shield,,C,W,C
Trained Arynx,,C+,W,C
Holy Cow,,C+,W,C
Inventive Wingsmith,,D+,W,C
Mystical Tether,,B-,W,C
Vengeful Townsfolk,,C+,W,C
Bridled Bighorn,,C+,W,C
Wanted Griffin,,C,W,C
Stagecoach Security,,D,W,C
Sterling Supplier,,C,W,C
Getaway Glamer,,C+,W,U
Nurturing Pixie,,B-,W,U
Requisition Raid,,D,W,U
Rustler Rampage,,D,W,U
Bovine Intervention,,D+,W,U
Frontier Seeker,,B-,W,U
Omenport Vigilante,,C+,W,U
Prairie Dog,,B,W,U
Sheriff of Safe Passage,,C-,W,U
Thunder Lasso,,D,W,U
Lassoed by the Law,,B+,W,U
Prosperity Tycoon,,C+,W,U
Shepherd of the Clouds,,C-,W,U
Bounding Felidar,,D+,W,U
Harrier Strix,,D+,U,C
Jailbreak Scheme,,D+,U,C
Phantom Interference,,C,U,C
Take the Fall,,C+,U,C
Failed Fording,,C,U,C
Razzle-Dazzler,,D+,U,C
Spring Splasher,,C,U,C
Geyser Drake,,B-,U,C
Seize the Secrets,,C-,U,C
Slickshot Vault-Buster,,D+,U,C
Daring Thunder-Thief,,C,U,C
Loan Shark,,D+,U,C
Stop Cold,,C-,U,C
Djinn of Fool's Fall,,D-,U,C
Peerless Ropemaster,,D,U,C
Metamorphic Blast,,D+,U,U
Canyon Crab,,D+,U,U
Emergent Haunting,,C,U,U
Fleeting Reflection,,D+,U,U
Shifting Grift,,D,U,U
Deepmuck Desperado,,D-,U,U
Nimble Brigand,,D+,U,U
Shackle Slinger,,C-,U,U
Slickshot Lockpicker,,B-,U,U
Outlaw Stitcher,,C,U,U
Plan the Heist,,C-,U,U
Visage Bandit,,D+,U,U
Marauding Sphinx,,C-,U,U
This Town Ain't Big Enough,,C-,U,U
Corrupted Conviction,,D+,B,C
Nezumi Linkbreaker,,C-,B,C
Skulduggery,,C,B,C
Desert's Due,,B,B,C
Desperate Bloodseeker,,C+,B,C
Fake Your Own Death,,D+,B,C
Mourner's Surprise,,C,B,C
Raven of Fell Omens,,C-,B,C
Blacksnag Buzzard,,C,B,C
Vault Plunderer,,B-,B,C
Boneyard Desecrator,,D+,B,C
Consuming Ashes,,C+,B,C
Rooftop Assassin,,C-,B,C
Overzealous Muscle,,C-,B,C
Ambush Gigapede,,D,B,C
Forsaken Miner,,B,B,U
Unfortunate Accident,,B-,B,U
Binding Negotiation,,C-,B,U
Blood Hustler,,C-,B,U
Lively Dirge,,D+,B,U
Servant of the Stinger,,C,B,U
Shoot the Sheriff,,B-,B,U
Treasure Dredger,,B,B,U
Neutralize the Guards,,D,B,U
Rakish Crew,,C+,B,U
Rattleback Apothecary,,C+,B,U
Unscrupulous Contractor,,B,B,U
Rictus Robber,,C-,B,U
Hollow Marauder,,C-,B,U
Explosive Derailment,,B-,R,C
Quick Draw,,D+,R,C
Reckless Lackey,,B,R,C
Deadeye Duelist,,C,R,C
Discerning Peddler,,C,R,C
Highway Robbery,,C+,R,C
Thunder Salvo,,C+,R,C
Irascible Wolverine,,C,R,C
Mine Raider,,C+,R,C
Outlaws' Fury,,C+,R,C
Prickly Pair,,B+,R,C
Quilled Charger,,C-,R,C
Rodeo Pyromancers,,C,R,C
Iron-Fist Pulverizer,,C-,R,C
Trick Shot,,C-,R,C
Brimstone Roundup,,C-,R,U
Caught in the Crossfire,,D+,R,U
Cunning Coyote,,B,R,U
Demonic Ruckus,,C,R,U
Magebane Lizard,,D+,R,U
Resilient Roadrunner,,B,R,U
Return the Favor,,D,R,U
Scorching Shot,,B-,R,U
Ferocification,,D+,R,U
Gila Courser,,C-,R,U
Longhorn Sharpshooter,,B,R,U
Scalestorm Summoner,,C+,R,U
Take for a Ride,,D+,R,U
Hellspur Brute,,B,R,U
