Name,Color,Rarity,Mana Value,Tier,Synergy,Buildaround,Comment,Image,Image Back
Collector's Cage,W,M,2,A+,,,,https://cards.scryfall.io/large/front/a/3/a33703bb-51c0-4d57-9d06-1148507ddc4f.jpg?1712352680,
Hostile Investigator,B,M,4,A+,,,,https://cards.scryfall.io/large/front/1/5/158c000e-7960-4518-b034-a529622b7bf1.jpg?1712352777,
Generous Plunderer,R,M,2,B-,,,,https://cards.scryfall.io/large/front/4/c/4c6cf93a-d073-48ac-88db-c46bf3e10beb.jpg?1712352787,
Legion Extruder,R,M,2,C,,,,https://cards.scryfall.io/large/front/5/a/5a077de0-1893-40d0-a499-ee2e6e2258f1.jpg?1712352797,
Memory Vessel,R,M,5,F,,,,https://cards.scryfall.io/large/front/2/e/2e37a5cd-887d-4b41-97f7-ae0bba85436b.jpg?1712352808,
Molten Duplication,R,M,2,F,,,,https://cards.scryfall.io/large/front/f/d/fdbe1ac1-461f-4746-a8d8-6c8dea2c97c6.jpg?1712352819,
Territory Forge,R,M,5,F,,,,https://cards.scryfall.io/large/front/7/1/71059bc8-f63a-4d9c-9d08-2e995e74cc59.jpg?1712352831,
Ancient Cornucopia,G,M,3,D+,,,,https://cards.scryfall.io/large/front/f/9/f977975d-0439-4731-b129-270cc4cdbb23.jpg?1712352842,
Bristlebud Farmer,G,M,4,A+,,,,https://cards.scryfall.io/large/front/d/4/d498c4de-5e80-4baa-9fcb-70f164880c84.jpg?1712352852,
Omenpath Journey,G,M,4,D,,,,https://cards.scryfall.io/large/front/c/4/c49c9b72-61c0-4e3a-a3a6-994b149398a9.jpg?1712352863,
Sandstorm Salvager,G,M,3,A,,,,https://cards.scryfall.io/large/front/1/3/13b0f27c-a359-4702-833a-82fec161eeec.jpg?1712352874,
Grand Abolisher,W,M,2,D+,,,,https://cards.scryfall.io/large/front/e/e/ee793ed2-7d59-4640-8868-ad486600df2c.jpg?1712352691,
Vaultborn Tyrant,G,M,7,A+,,,,https://cards.scryfall.io/large/front/6/2/62b3f560-262b-4bc3-9aef-535fd7082c28.jpg?1712352885,
"Loot, the Key to Everything",M,M,3,F,,,,https://cards.scryfall.io/large/front/f/b/fb169fa2-c92e-45f7-89a2-0ca0e3910a1c.jpg?1712352897,
Pest Control,M,M,2,F,,,,https://cards.scryfall.io/large/front/a/4/a4a01b92-dafb-4ea6-8eff-29f881f6be24.jpg?1712352910,
