Name,Rating,Color,Rarity,Notes
Curious Farm Animals,D,W,common,
Yip Yip!,D,W,common,
Compassionate Healer,C,W,common,
Jeong Jeong's Deserters,D+,W,common,
Path to Redemption,C,W,common,
Razor Rings,C+,W,common,
Airbending Lesson,C-,W,common,
Avatar Enthusiasts,C+,W,common,How playable is Ally? I think very
Glider Kids,C-,W,common,
Water Tribe Captain,C-,W,common,
Kyoshi Warriors,C+,W,common,
Sandbenders' Storm,C,W,common,
Rabaroo Troop,C,W,common,
Octopus Form,C,U,common,
Watery Grasp,D+,U,common,
First-Time Flyer,D+,U,common,
Forecasting Fortune Teller,C,U,common,
It'll Quench Ya!,C,U,common,
Otter-Penguin,D,U,common,
Iguana Parrot,C+,U,common,
Rowdy Snowballers,C+,U,common,
Flexible Waterbender,C-,U,common,
Waterbending Lesson,D,U,common,
Geyser Leaper,D+,U,common,
Lost Days,C,U,common,
Giant Koi,C+,U,common,
Callous Inspector,C+,B,common,
Deadly Precision,C,B,common,
Azula Always Lies,D,B,common,
Corrupt Court Official,C,B,common,
Dai Li Indoctrination,C-,B,common,
Merchant of Many Hats,C-,B,common,
Hog-Monkey,C-,B,common,
Pirate Peddlers,D,B,common,
Swampsnare Trap,C-,B,common,
Foggy Swamp Hunters,D,B,common,
Sold Out,C,B,common,
Beetle-Headed Merchants,C,B,common,
Canyon Crawler,C,B,common,
Firebending Lesson,C,R,common,
Fire Nation Cadets,D,R,common,
Cunning Maneuver,C,R,common,This is what firebending wants to see!
Deserter's Disciple,C,R,common,
Lightning Strike,B,R,common,
Yuyan Archers,C,R,common,
Boar-q-pine,C,R,common,Can I just draft him and lightning strikes?
How to Start a Riot,C-,R,common,
Treetop Freedom Fighters,C+,R,common,
Bumi Bash,C-,R,common,
Fire Nation Raider,D+,R,common,
Rough Rhino Cavalry,C+,R,common,
Mongoose Lizard,C,R,common,
Pillar Launch,D,G,common,
Turtle-Duck,G,G,common,
Origin of Metalbending,C,G,common,
Raucous Audience,C,G,common,
Rebellious Captives,C,G,common,
Rocky Rebuke,C+,G,common,
Cycle of Renewal,D+,G,common,
Ostrich-Horse,C,G,common,
Walltop Sentries,D+,G,common,
Earthbending Lesson,D,G,common,
Foggy Swamp Vinebender,C-,G,common,
Badgermole,C+,G,common,
Saber-Tooth Moose-Lion,C,G,common,
Abandon Attachments,C,RU,common,
Platypus-Bear,G,GU,common,
Pretending Poxbearers,C,BW,common,
Earth Village Ruffians,C,BG,common,
Messenger Hawk,C-,BU,common,
Vindictive Warden,C+,BR,common,
Cat-Owl,C,UW,common,
Earth Rumble Wrestlers,C-,GR,common,
Wandering Musicians,B-,RW,common,
Earth Kingdom Soldier,C,GW,common,
Airship Engine Room,C,RU,common,
Boiling Rock Prison,C,BR,common,
Foggy Bottom Swamp,C,BG,common,
Forest,C,G,common,
Island,C,U,common,
Kyoshi Village,C,GW,common,
Meditation Pools,C,GU,common,
Misty Palms Oasis,C,BW,common,
Mountain,C,R,common,
North Pole Gates,C,UW,common,
Omashu City,C,GR,common,
Plains,C,W,common,
