Name,Rating,Color,Rarity,Notes
"Curious Farm Animals",C-,W,common,""
"Yip Yip!",C,W,common,""
"Compassionate Healer",C,W,common,""
"Jeong Jeong's Deserters",C-,W,common,""
"Path to Redemption",C+,W,common,""
"Razor Rings",C,W,common,""
"Airbending Lesson",C+,W,common,""
"Avatar Enthusiasts",D+,W,common,""
"Glider Kids",C+,W,common,""
"Water Tribe Captain",C+,W,common,""
"Kyoshi Warriors",C+,W,common,""
"Sandbenders' Storm",C+,W,common,""
"Rabaroo Troop",C-,W,common,""
"Octopus Form",C,U,common,""
"Watery Grasp",C,U,common,""
"First-Time Flyer",C-,U,common,""
"Forecasting Fortune Teller",B-,U,common,""
"It'll Quench Ya!",C,U,common,""
"Otter-Penguin",D+,U,common,""
"Iguana Parrot",C-,U,common,""
"Rowdy Snowballers",C-,U,common,""
"Flexible Waterbender",D+,U,common,""
"Waterbending Lesson",C,U,common,""
"Geyser Leaper",D+,U,common,""
"Lost Days",C+,U,common,""
"Giant Koi",C-,U,common,""
"Callous Inspector",C,B,common,""
"Deadly Precision",C,B,common,""
"Azula Always Lies",C-,B,common,""
"Corrupt Court Official",C,B,common,""
"Dai Li Indoctrination",D+,B,common,""
"Merchant of Many Hats",C,B,common,""
"Hog-Monkey",D,B,common,""
"Pirate Peddlers",C-,B,common,""
"Swampsnare Trap",C-,B,common,""
"Foggy Swamp Hunters",D,B,common,""
"Sold Out",B,B,common,""
"Beetle-Headed Merchants",C,B,common,""
"Canyon Crawler",C,B,common,""
"Firebending Lesson",B,R,common,""
"Fire Nation Cadets",C-,R,common,""
"Cunning Maneuver",D,R,common,""
"Deserter's Disciple",C-,R,common,""
"Lightning Strike",B,R,common,""
"Yuyan Archers",C+,R,common,""
"Boar-q-pine",D+,R,common,""
"How to Start a Riot",C,R,common,""
"Treetop Freedom Fighters",C+,R,common,""
"Bumi Bash",C,R,common,""
"Fire Nation Raider",C,R,common,""
"Rough Rhino Cavalry",C,R,common,""
"Mongoose Lizard",C,R,common,""
"Pillar Launch",C-,G,common,""
"Turtle-Duck",D,G,common,""
"Origin of Metalbending",C+,G,common,""
"Raucous Audience",C+,G,common,""
"Rebellious Captives",C+,G,common,""
"Rocky Rebuke",B-,G,common,""
"Cycle of Renewal",D+,G,common,""
"Ostrich-Horse",C+,G,common,""
"Walltop Sentries",C+,G,common,""
"Earthbending Lesson",D,G,common,""
"Foggy Swamp Vinebender",D,G,common,""
"Badgermole",C+,G,common,""
"Saber-Tooth Moose-Lion",C-,G,common,""
"Abandon Attachments",C-,RU,common,""
"Platypus-Bear",D+,GU,common,""
"Pretending Poxbearers",C,BW,common,""
"Earth Village Ruffians",C,BG,common,""
"Messenger Hawk",C,BU,common,""
"Vindictive Warden",D,BR,common,""
"Cat-Owl",D,UW,common,""
"Earth Rumble Wrestlers",C-,GR,common,""
"Wandering Musicians",D,RW,common,""
"Earth Kingdom Soldier",C,GW,common,""
"Airship Engine Room",C+,RU,common,""
"Boiling Rock Prison",C+,BR,common,""
"Foggy Bottom Swamp",C+,BG,common,""
"Forest",G,G,common,""
"Island",G,U,common,""
"Kyoshi Village",C+,GW,common,""
"Meditation Pools",C+,GU,common,""
"Misty Palms Oasis",C+,BW,common,""
"Mountain",G,R,common,""
"North Pole Gates",C+,UW,common,""
"Omashu City",C+,GR,common,""
"Plains",G,W,common,""
"Rumble Arena",D+,,common,""
"Serpent's Pass",C+,BU,common,""
"Sun-Blessed Peak",C+,RW,common,""
"Swamp",G,B,common,""
"Barrels of Blasting Jelly",D+,,common,""
"Aang's Journey",C,,common,""
"Kyoshi Battle Fan",D+,,common,""
"Bender's Waterskin",D+,,common,""
"Zuko's Exile",D,,common,""
"Earth Kingdom Protectors",C,W,uncommon,""
"Enter the Avatar State",B,W,uncommon,""
"Momo, Playful Pet",C+,W,uncommon,""
"Airbender's Reversal",C+,W,uncommon,""
"Invasion Reinforcements",C+,W,uncommon,""
"Water Tribe Rallier",B-,W,uncommon,""
"Earth Kingdom Jailer",B,W,uncommon,""
"Fancy Footwork",C+,W,uncommon,""
"Glider Staff",C+,W,uncommon,""
"Team Avatar",C+,W,uncommon,""
"Aang, the Last Airbender",B,W,uncommon,""
"Destined Confrontation",D+,W,uncommon,""
"Southern Air Temple",C-,W,uncommon,""
"Vengeful Villagers",D+,W,uncommon,""
"Gather the White Lotus",C+,W,uncommon,""
"Master Piandao",C+,W,uncommon,""
"Appa, Loyal Sky Bison",C+,W,uncommon,""
"Boomerang Basics",C+,U,uncommon,""
"Gran-Gran",C+,U,uncommon,""
"Honest Work",C-,U,uncommon,""
"Accumulate Wisdom",C+,U,uncommon,""
"Benevolent River Spirit",B-,U,uncommon,""
"Crashing Wave",C,U,uncommon,""
"Knowledge Seeker",C+,U,uncommon,""
"Master Pakku",C,U,uncommon,""
"Waterbending Scroll",C-,U,uncommon,""
"Invasion Submersible",B-,U,uncommon,""
"Katara, Bending Prodigy",B,U,uncommon,""
"North Pole Patrol",C,U,uncommon,""
"The Spirit Oasis",C-,U,uncommon,""
"Teo, Spirited Glider",D,U,uncommon,""
"Ember Island Production",D+,U,uncommon,""
"Sokka's Haiku",C+,U,uncommon,""
"Serpent of the Pass",C,U,uncommon,""
"Northern Air Temple",D+,B,uncommon,""
"Zuko's Conviction",C,B,uncommon,""
"Epic Downfall",C+,B,uncommon,""
"Fatal Fissure",C-,B,uncommon,""
"Heartless Act",C+,B,uncommon,""
"Joo Dee, One of Many",C,B,uncommon,""
"June, Bounty Hunter",C+,B,uncommon,""
"Fire Nation Engineer",C-,B,uncommon,""
"Fire Navy Trebuchet",D,B,uncommon,""
"Ozai's Cruelty",C,B,uncommon,""
"Ruinous Waterbending",C-,B,uncommon,""
"Tundra Tank",C-,B,uncommon,""
"Wolfbat",C-,B,uncommon,""
"Azula, On the Hunt",B-,B,uncommon,""
"Buzzard-Wasp Colony",D,B,uncommon,""
"Lo and Li, Twin Tutors",D,B,uncommon,""
"Cat-Gator",C,B,uncommon,""
"Jet's Brainwashing",D+,R,uncommon,""
"Combustion Technique",B-,R,uncommon,""
"Fire Sages",B-,R,uncommon,""
"Iroh's Demonstration",C+,R,uncommon,""
"Mai, Jaded Edge",C+,R,uncommon,""
"Price of Freedom",D+,R,uncommon,""
"Tiger-Dillo",C-,R,uncommon,""
"Jeong Jeong, the Deserter",B-,R,uncommon,""
"Solstice Revelations",D+,R,uncommon,""
"Twin Blades",C,R,uncommon,""
"Ty Lee, Artful Acrobat",C,R,uncommon,""
"War Balloon",C,R,uncommon,""
"Crescent Island Temple",C,R,uncommon,""
"The Cave of Two Lovers",B,R,uncommon,""
"Zuko, Exiled Prince",B,R,uncommon,""
"Combustion Man",B-,R,uncommon,""
"Fire Nation Attacks",C+,R,uncommon,""
"Seismic Sense",C,G,uncommon,""
"Haru, Hidden Talent",C-,G,uncommon,""
"Leaves from the Vine",C-,G,uncommon,""
"Shared Roots",B-,G,uncommon,""
"Sparring Dummy",D,G,uncommon,""
"True Ancestry",B-,G,uncommon,""
