Name,Rating,Color,Rarity,Notes
Curious Farm Animals,D+,W,common,
Yip Yip!,D+,W,common,
Compassionate Healer,C-,W,common,
Jeong Jeong's Deserters,C+,W,common,
Path to Redemption,C+,W,common,
Razor Rings,C-,W,common,
Airbending Lesson,C+,W,common,
Avatar Enthusiasts,D+,W,common,
Glider Kids,C,W,common,
Water Tribe Captain,C-,W,common,
Kyoshi Warriors,B-,W,common,
Sandbenders' Storm,C-,W,common,
Rabaroo Troop,D+,W,common,
Octopus Form,D+,U,common,
Watery Grasp,C-,U,common,
First-Time Flyer,C-,U,common,
Forecasting Fortune Teller,B,U,common,
It'll Quench Ya!,C-,U,common,
Otter-Penguin,C-,U,common,
Iguana Parrot,C,U,common,
Rowdy Snowballers,C+,U,common,
Flexible Waterbender,D,U,common,
Waterbending Lesson,C,U,common,
Geyser Leaper,D+,U,common,
Lost Days,C-,U,common,
Giant Koi,C-,U,common,
Callous Inspector,D+,B,common,
Deadly Precision,C-,B,common,
Azula Always Lies,D+,B,common,
Corrupt Court Official,C-,B,common,
Dai Li Indoctrination,C,B,common,
Merchant of Many Hats,D+,B,common,
Hog-Monkey,D,B,common,
Pirate Peddlers,C,B,common,
Swampsnare Trap,B-,B,common,
Foggy Swamp Hunters,C,B,common,
Sold Out,B-,B,common,
Beetle-Headed Merchants,D,B,common,
Canyon Crawler,D+,B,common,
Firebending Lesson,C+,R,common,
Fire Nation Cadets,D+,R,common,
Cunning Maneuver,C-,R,common,
Deserter's Disciple,C-,R,common,
Lightning Strike,B,R,common,
Yuyan Archers,C-,R,common,
Boar-q-pine,C,R,common,
How to Start a Riot,D+,R,common,
Treetop Freedom Fighters,B-,R,common,
Bumi Bash,C-,R,common,
Fire Nation Raider,D,R,common,
Rough Rhino Cavalry,D+,R,common,
Mongoose Lizard,D+,R,common,
Pillar Launch,D+,G,common,
Turtle-Duck,D,G,common,
Origin of Metalbending,D-,G,common,
Raucous Audience,C+,G,common,
Rebellious Captives,C,G,common,
Rocky Rebuke,B-,G,common,
Cycle of Renewal,D,G,common,
Ostrich-Horse,B-,G,common,
Walltop Sentries,C,G,common,
Earthbending Lesson,C-,G,common,
Foggy Swamp Vinebender,C,G,common,
Badgermole,C+,G,common,
Saber-Tooth Moose-Lion,D+,G,common,
Abandon Attachments,C-,RU,common,
Platypus-Bear,D+,GU,common,
Pretending Poxbearers,C+,BW,common,
Earth Village Ruffians,C-,BG,common,
Messenger Hawk,C,BU,common,
Vindictive Warden,C-,BR,common,
Cat-Owl,C-,UW,common,
Earth Rumble Wrestlers,C,GR,common,
Wandering Musicians,D+,RW,common,
Earth Kingdom Soldier,D+,GW,common,
Airship Engine Room,C,RU,common,
Boiling Rock Prison,C,BR,common,
Foggy Bottom Swamp,C,BG,common,
Forest,C,G,common,
Island,C,U,common,
Kyoshi Village,C,GW,common,
Meditation Pools,C,GU,common,
Misty Palms Oasis,C,BW,common,
Mountain,C,R,common,
North Pole Gates,C,UW,common,
Omashu City,C,GR,common,
Plains,C,W,common,
Rumble Arena,D+,,common,
